pair,metric,component,layer,head,value_std
original_vs_version1,head_output_maxmatch_cosine,head_output,1,39,0.008409
original_vs_version1,head_output_maxmatch_cosine,head_output,2,0,0.032348
original_vs_version1,head_output_maxmatch_cosine,head_output,2,1,0.029461
original_vs_version1,head_output_maxmatch_cosine,head_output,2,2,0.016343
original_vs_version1,head_output_maxmatch_cosine,head_output,2,3,0.045218
original_vs_version1,head_output_maxmatch_cosine,head_output,2,4,0.035683
original_vs_version1,head_output_maxmatch_cosine,head_output,2,5,0.046871
original_vs_version1,head_output_maxmatch_cosine,head_output,2,6,0.055163
original_vs_version1,head_output_maxmatch_cosine,head_output,2,7,0.05977
original_vs_version1,head_output_maxmatch_cosine,head_output,2,8,0.04099
original_vs_version1,head_output_maxmatch_cosine,head_output,2,9,0.050062
original_vs_version1,head_output_maxmatch_cosine,head_output,2,10,0.055279
original_vs_version1,head_output_maxmatch_cosine,head_output,2,11,0.049868
original_vs_version1,head_output_maxmatch_cosine,head_output,2,12,0.054091
original_vs_version1,head_output_maxmatch_cosine,head_output,2,13,0.066284
original_vs_version1,head_output_maxmatch_cosine,head_output,2,14,0.057605
original_vs_version1,head_output_maxmatch_cosine,head_output,2,15,0.056512
original_vs_version1,head_output_maxmatch_cosine,head_output,2,16,0.054603
original_vs_version1,head_output_maxmatch_cosine,head_output,2,17,0.065878
original_vs_version1,head_output_maxmatch_cosine,head_output,2,18,0.05922
original_vs_version1,head_output_maxmatch_cosine,head_output,2,19,0.065279
original_vs_version1,head_output_maxmatch_cosine,head_output,2,20,0.064928
original_vs_version1,head_output_maxmatch_cosine,head_output,2,21,0.063934
original_vs_version1,head_output_maxmatch_cosine,head_output,2,22,0.054539
original_vs_version1,head_output_maxmatch_cosine,head_output,2,23,0.055373
original_vs_version1,head_output_maxmatch_cosine,head_output,2,24,0.056717
original_vs_version1,head_output_maxmatch_cosine,head_output,2,25,0.051306
original_vs_version1,head_output_maxmatch_cosine,head_output,2,26,0.05896
original_vs_version1,head_output_maxmatch_cosine,head_output,2,27,0.060039
original_vs_version1,head_output_maxmatch_cosine,head_output,2,28,0.051964
original_vs_version1,head_output_maxmatch_cosine,head_output,2,29,0.062278
original_vs_version1,head_output_maxmatch_cosine,head_output,2,30,0.057469
original_vs_version1,head_output_maxmatch_cosine,head_output,2,31,0.064607
original_vs_version1,head_output_maxmatch_cosine,head_output,2,32,0.064457
original_vs_version1,head_output_maxmatch_cosine,head_output,2,33,0.06527
original_vs_version1,head_output_maxmatch_cosine,head_output,2,34,0.05479
original_vs_version1,head_output_maxmatch_cosine,head_output,2,35,0.052117
original_vs_version1,head_output_maxmatch_cosine,head_output,2,36,0.050417
original_vs_version1,head_output_maxmatch_cosine,head_output,2,37,0.045553
original_vs_version1,head_output_maxmatch_cosine,head_output,2,38,0.048046
original_vs_version1,head_output_maxmatch_cosine,head_output,2,39,0.049611
original_vs_version1,head_output_maxmatch_cosine,head_output,3,0,0.0344
original_vs_version1,head_output_maxmatch_cosine,head_output,3,1,0.033284
original_vs_version1,head_output_maxmatch_cosine,head_output,3,2,0.031096
original_vs_version1,head_output_maxmatch_cosine,head_output,3,3,0.032877
original_vs_version1,head_output_maxmatch_cosine,head_output,3,4,0.035602
original_vs_version1,head_output_maxmatch_cosine,head_output,3,5,0.05189
original_vs_version1,head_output_maxmatch_cosine,head_output,3,6,0.045053
original_vs_version1,head_output_maxmatch_cosine,head_output,3,7,0.05438
original_vs_version1,head_output_maxmatch_cosine,head_output,3,8,0.045554
original_vs_version1,head_output_maxmatch_cosine,head_output,3,9,0.05162
original_vs_version1,head_output_maxmatch_cosine,head_output,3,10,0.057567
original_vs_version1,head_output_maxmatch_cosine,head_output,3,11,0.054807
original_vs_version1,head_output_maxmatch_cosine,head_output,3,12,0.055301
original_vs_version1,head_output_maxmatch_cosine,head_output,3,13,0.054675
original_vs_version1,head_output_maxmatch_cosine,head_output,3,14,0.05916
original_vs_version1,head_output_maxmatch_cosine,head_output,3,15,0.039317
original_vs_version1,head_output_maxmatch_cosine,head_output,3,16,0.032467
original_vs_version1,head_output_maxmatch_cosine,head_output,3,17,0.038728
original_vs_version1,head_output_maxmatch_cosine,head_output,3,18,0.039545
original_vs_version1,head_output_maxmatch_cosine,head_output,3,19,0.03744
original_vs_version1,head_output_maxmatch_cosine,head_output,3,20,0.061373
original_vs_version1,head_output_maxmatch_cosine,head_output,3,21,0.070477
original_vs_version1,head_output_maxmatch_cosine,head_output,3,22,0.036174
original_vs_version1,head_output_maxmatch_cosine,head_output,3,23,0.062639
original_vs_version1,head_output_maxmatch_cosine,head_output,3,24,0.057137
original_vs_version1,head_output_maxmatch_cosine,head_output,3,25,0.036794
original_vs_version1,head_output_maxmatch_cosine,head_output,3,26,0.04583
original_vs_version1,head_output_maxmatch_cosine,head_output,3,27,0.045097
original_vs_version1,head_output_maxmatch_cosine,head_output,3,28,0.063401
original_vs_version1,head_output_maxmatch_cosine,head_output,3,29,0.059297
original_vs_version1,head_output_maxmatch_cosine,head_output,3,30,0.045994
original_vs_version1,head_output_maxmatch_cosine,head_output,3,31,0.073307
original_vs_version1,head_output_maxmatch_cosine,head_output,3,32,0.062952
original_vs_version1,head_output_maxmatch_cosine,head_output,3,33,0.092376
original_vs_version1,head_output_maxmatch_cosine,head_output,3,34,0.034059
original_vs_version1,head_output_maxmatch_cosine,head_output,3,35,0.056049
original_vs_version1,head_output_maxmatch_cosine,head_output,3,36,0.053289
original_vs_version1,head_output_maxmatch_cosine,head_output,3,37,0.033617
original_vs_version1,head_output_maxmatch_cosine,head_output,3,38,0.051908
original_vs_version1,head_output_maxmatch_cosine,head_output,3,39,0.04648
original_vs_version1,head_output_maxmatch_cosine,head_output,4,0,0.022595
original_vs_version1,head_output_maxmatch_cosine,head_output,4,1,0.032866
original_vs_version1,head_output_maxmatch_cosine,head_output,4,2,0.025197
original_vs_version1,head_output_maxmatch_cosine,head_output,4,3,0.037048
original_vs_version1,head_output_maxmatch_cosine,head_output,4,4,0.029498
original_vs_version1,head_output_maxmatch_cosine,head_output,4,5,0.046134
original_vs_version1,head_output_maxmatch_cosine,head_output,4,6,0.04884
original_vs_version1,head_output_maxmatch_cosine,head_output,4,7,0.045764
original_vs_version1,head_output_maxmatch_cosine,head_output,4,8,0.051839
original_vs_version1,head_output_maxmatch_cosine,head_output,4,9,0.047886
original_vs_version1,head_output_maxmatch_cosine,head_output,4,10,0.024335
original_vs_version1,head_output_maxmatch_cosine,head_output,4,11,0.03175
original_vs_version1,head_output_maxmatch_cosine,head_output,4,12,0.024468
original_vs_version1,head_output_maxmatch_cosine,head_output,4,13,0.032471
original_vs_version1,head_output_maxmatch_cosine,head_output,4,14,0.02214
original_vs_version1,head_output_maxmatch_cosine,head_output,4,15,0.055153
original_vs_version1,head_output_maxmatch_cosine,head_output,4,16,0.048466
original_vs_version1,head_output_maxmatch_cosine,head_output,4,17,0.047639
original_vs_version1,head_output_maxmatch_cosine,head_output,4,18,0.048845
original_vs_version1,head_output_maxmatch_cosine,head_output,4,19,0.050057
original_vs_version1,head_output_maxmatch_cosine,head_output,4,20,0.068604
original_vs_version1,head_output_maxmatch_cosine,head_output,4,21,0.044955
original_vs_version1,head_output_maxmatch_cosine,head_output,4,22,0.041222
original_vs_version1,head_output_maxmatch_cosine,head_output,4,23,0.044232
original_vs_version1,head_output_maxmatch_cosine,head_output,4,24,0.056899
original_vs_version1,head_output_maxmatch_cosine,head_output,4,25,0.048048
original_vs_version1,head_output_maxmatch_cosine,head_output,4,26,0.045728
original_vs_version1,head_output_maxmatch_cosine,head_output,4,27,0.028873
original_vs_version1,head_output_maxmatch_cosine,head_output,4,28,0.039258
original_vs_version1,head_output_maxmatch_cosine,head_output,4,29,0.058295
original_vs_version1,head_output_maxmatch_cosine,head_output,4,30,0.03365
original_vs_version1,head_output_maxmatch_cosine,head_output,4,31,0.047273
original_vs_version1,head_output_maxmatch_cosine,head_output,4,32,0.055347
original_vs_version1,head_output_maxmatch_cosine,head_output,4,33,0.043882
original_vs_version1,head_output_maxmatch_cosine,head_output,4,34,0.042645
original_vs_version1,head_output_maxmatch_cosine,head_output,4,35,0.045841
original_vs_version1,head_output_maxmatch_cosine,head_output,4,36,0.057035
original_vs_version1,head_output_maxmatch_cosine,head_output,4,37,0.052004
original_vs_version1,head_output_maxmatch_cosine,head_output,4,38,0.054815
original_vs_version1,head_output_maxmatch_cosine,head_output,4,39,0.044481
original_vs_version1,head_output_maxmatch_cosine,head_output,5,0,0.015693
original_vs_version1,head_output_maxmatch_cosine,head_output,5,1,0.030186
original_vs_version1,head_output_maxmatch_cosine,head_output,5,2,0.015083
original_vs_version1,head_output_maxmatch_cosine,head_output,5,3,0.017325
original_vs_version1,head_output_maxmatch_cosine,head_output,5,4,0.0214
original_vs_version1,head_output_maxmatch_cosine,head_output,5,5,0.043521
original_vs_version1,head_output_maxmatch_cosine,head_output,5,6,0.039415
original_vs_version1,head_output_maxmatch_cosine,head_output,5,7,0.020717
original_vs_version1,head_output_maxmatch_cosine,head_output,5,8,0.047407
original_vs_version1,head_output_maxmatch_cosine,head_output,5,9,0.043783
original_vs_version1,head_output_maxmatch_cosine,head_output,5,10,0.044122
original_vs_version1,head_output_maxmatch_cosine,head_output,5,11,0.041493
original_vs_version1,head_output_maxmatch_cosine,head_output,5,12,0.04499
original_vs_version1,head_output_maxmatch_cosine,head_output,5,13,0.042322
original_vs_version1,head_output_maxmatch_cosine,head_output,5,14,0.045477
original_vs_version1,head_output_maxmatch_cosine,head_output,5,15,0.015933
original_vs_version1,head_output_maxmatch_cosine,head_output,5,16,0.005689
original_vs_version1,head_output_maxmatch_cosine,head_output,5,17,0.006488
original_vs_version1,head_output_maxmatch_cosine,head_output,5,18,0.011402
original_vs_version1,head_output_maxmatch_cosine,head_output,5,19,0.018426
original_vs_version1,head_output_maxmatch_cosine,head_output,5,20,0.032052
original_vs_version1,head_output_maxmatch_cosine,head_output,5,21,0.040005
original_vs_version1,head_output_maxmatch_cosine,head_output,5,22,0.02952
original_vs_version1,head_output_maxmatch_cosine,head_output,5,23,0.020126
original_vs_version1,head_output_maxmatch_cosine,head_output,5,24,0.032197
original_vs_version1,head_output_maxmatch_cosine,head_output,5,25,0.018023
original_vs_version1,head_output_maxmatch_cosine,head_output,5,26,0.046267
original_vs_version1,head_output_maxmatch_cosine,head_output,5,27,0.042412
original_vs_version1,head_output_maxmatch_cosine,head_output,5,28,0.020848
original_vs_version1,head_output_maxmatch_cosine,head_output,5,29,0.051977
original_vs_version1,head_output_maxmatch_cosine,head_output,5,30,0.017872
original_vs_version1,head_output_maxmatch_cosine,head_output,5,31,0.025435
original_vs_version1,head_output_maxmatch_cosine,head_output,5,32,0.015605
original_vs_version1,head_output_maxmatch_cosine,head_output,5,33,0.015527
original_vs_version1,head_output_maxmatch_cosine,head_output,5,34,0.019623
original_vs_version1,head_output_maxmatch_cosine,head_output,5,35,0.023822
original_vs_version1,head_output_maxmatch_cosine,head_output,5,36,0.034444
original_vs_version1,head_output_maxmatch_cosine,head_output,5,37,0.017853
original_vs_version1,head_output_maxmatch_cosine,head_output,5,38,0.031132
original_vs_version1,head_output_maxmatch_cosine,head_output,5,39,0.028937
original_vs_version1,head_output_maxmatch_cosine,head_output,6,0,0.031082
original_vs_version1,head_output_maxmatch_cosine,head_output,6,1,0.041355
original_vs_version1,head_output_maxmatch_cosine,head_output,6,2,0.03924
original_vs_version1,head_output_maxmatch_cosine,head_output,6,3,0.037085
original_vs_version1,head_output_maxmatch_cosine,head_output,6,4,0.024994
original_vs_version1,head_output_maxmatch_cosine,head_output,6,5,0.022817
original_vs_version1,head_output_maxmatch_cosine,head_output,6,6,0.029348
original_vs_version1,head_output_maxmatch_cosine,head_output,6,7,0.042002
original_vs_version1,head_output_maxmatch_cosine,head_output,6,8,0.019985
original_vs_version1,head_output_maxmatch_cosine,head_output,6,9,0.03144
original_vs_version1,head_output_maxmatch_cosine,head_output,6,10,0.042005
original_vs_version1,head_output_maxmatch_cosine,head_output,6,11,0.040115
original_vs_version1,head_output_maxmatch_cosine,head_output,6,12,0.038666
original_vs_version1,head_output_maxmatch_cosine,head_output,6,13,0.024502
original_vs_version1,head_output_maxmatch_cosine,head_output,6,14,0.043486
original_vs_version1,head_output_maxmatch_cosine,head_output,6,15,0.06021
original_vs_version1,head_output_maxmatch_cosine,head_output,6,16,0.055135
original_vs_version1,head_output_maxmatch_cosine,head_output,6,17,0.056696
original_vs_version1,head_output_maxmatch_cosine,head_output,6,18,0.05863
original_vs_version1,head_output_maxmatch_cosine,head_output,6,19,0.054882
original_vs_version1,head_output_maxmatch_cosine,head_output,6,20,0.018565
original_vs_version1,head_output_maxmatch_cosine,head_output,6,21,0.034551
original_vs_version1,head_output_maxmatch_cosine,head_output,6,22,0.021475
original_vs_version1,head_output_maxmatch_cosine,head_output,6,23,0.043222
original_vs_version1,head_output_maxmatch_cosine,head_output,6,24,0.035657
original_vs_version1,head_output_maxmatch_cosine,head_output,6,25,0.026891
original_vs_version1,head_output_maxmatch_cosine,head_output,6,26,0.021993
original_vs_version1,head_output_maxmatch_cosine,head_output,6,27,0.019689
original_vs_version1,head_output_maxmatch_cosine,head_output,6,28,0.018812
original_vs_version1,head_output_maxmatch_cosine,head_output,6,29,0.030785
original_vs_version1,head_output_maxmatch_cosine,head_output,6,30,0.034564
original_vs_version1,head_output_maxmatch_cosine,head_output,6,31,0.043736
original_vs_version1,head_output_maxmatch_cosine,head_output,6,32,0.029381
original_vs_version1,head_output_maxmatch_cosine,head_output,6,33,0.027809
original_vs_version1,head_output_maxmatch_cosine,head_output,6,34,0.02791
original_vs_version1,head_output_maxmatch_cosine,head_output,6,35,0.049012
original_vs_version1,head_output_maxmatch_cosine,head_output,6,36,0.036746
original_vs_version1,head_output_maxmatch_cosine,head_output,6,37,0.036427
original_vs_version1,head_output_maxmatch_cosine,head_output,6,38,0.05066
