pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,1,39,0.965909
original_vs_version1,head_output_maxmatch_cosine,head_output,2,0,0.837447
original_vs_version1,head_output_maxmatch_cosine,head_output,2,1,0.890629
original_vs_version1,head_output_maxmatch_cosine,head_output,2,2,0.921761
original_vs_version1,head_output_maxmatch_cosine,head_output,2,3,0.836752
original_vs_version1,head_output_maxmatch_cosine,head_output,2,4,0.843474
original_vs_version1,head_output_maxmatch_cosine,head_output,2,5,0.80272
original_vs_version1,head_output_maxmatch_cosine,head_output,2,6,0.793729
original_vs_version1,head_output_maxmatch_cosine,head_output,2,7,0.787627
original_vs_version1,head_output_maxmatch_cosine,head_output,2,8,0.795947
original_vs_version1,head_output_maxmatch_cosine,head_output,2,9,0.860106
original_vs_version1,head_output_maxmatch_cosine,head_output,2,10,0.78845
original_vs_version1,head_output_maxmatch_cosine,head_output,2,11,0.721408
original_vs_version1,head_output_maxmatch_cosine,head_output,2,12,0.768723
original_vs_version1,head_output_maxmatch_cosine,head_output,2,13,0.741797
original_vs_version1,head_output_maxmatch_cosine,head_output,2,14,0.722496
original_vs_version1,head_output_maxmatch_cosine,head_output,2,15,0.792992
original_vs_version1,head_output_maxmatch_cosine,head_output,2,16,0.797357
original_vs_version1,head_output_maxmatch_cosine,head_output,2,17,0.789515
original_vs_version1,head_output_maxmatch_cosine,head_output,2,18,0.798323
original_vs_version1,head_output_maxmatch_cosine,head_output,2,19,0.796068
original_vs_version1,head_output_maxmatch_cosine,head_output,2,20,0.789217
original_vs_version1,head_output_maxmatch_cosine,head_output,2,21,0.777107
original_vs_version1,head_output_maxmatch_cosine,head_output,2,22,0.811586
original_vs_version1,head_output_maxmatch_cosine,head_output,2,23,0.792495
original_vs_version1,head_output_maxmatch_cosine,head_output,2,24,0.809442
original_vs_version1,head_output_maxmatch_cosine,head_output,2,25,0.808053
original_vs_version1,head_output_maxmatch_cosine,head_output,2,26,0.769809
original_vs_version1,head_output_maxmatch_cosine,head_output,2,27,0.794321
original_vs_version1,head_output_maxmatch_cosine,head_output,2,28,0.79865
original_vs_version1,head_output_maxmatch_cosine,head_output,2,29,0.755675
original_vs_version1,head_output_maxmatch_cosine,head_output,2,30,0.671485
original_vs_version1,head_output_maxmatch_cosine,head_output,2,31,0.723532
original_vs_version1,head_output_maxmatch_cosine,head_output,2,32,0.716941
original_vs_version1,head_output_maxmatch_cosine,head_output,2,33,0.659463
original_vs_version1,head_output_maxmatch_cosine,head_output,2,34,0.70719
original_vs_version1,head_output_maxmatch_cosine,head_output,2,35,0.788909
original_vs_version1,head_output_maxmatch_cosine,head_output,2,36,0.787486
original_vs_version1,head_output_maxmatch_cosine,head_output,2,37,0.767538
original_vs_version1,head_output_maxmatch_cosine,head_output,2,38,0.808029
original_vs_version1,head_output_maxmatch_cosine,head_output,2,39,0.819351
original_vs_version1,head_output_maxmatch_cosine,head_output,3,0,0.858848
original_vs_version1,head_output_maxmatch_cosine,head_output,3,1,0.856858
original_vs_version1,head_output_maxmatch_cosine,head_output,3,2,0.908156
original_vs_version1,head_output_maxmatch_cosine,head_output,3,3,0.863546
original_vs_version1,head_output_maxmatch_cosine,head_output,3,4,0.867886
original_vs_version1,head_output_maxmatch_cosine,head_output,3,5,0.809007
original_vs_version1,head_output_maxmatch_cosine,head_output,3,6,0.829844
original_vs_version1,head_output_maxmatch_cosine,head_output,3,7,0.78849
original_vs_version1,head_output_maxmatch_cosine,head_output,3,8,0.807376
original_vs_version1,head_output_maxmatch_cosine,head_output,3,9,0.791672
original_vs_version1,head_output_maxmatch_cosine,head_output,3,10,0.773643
original_vs_version1,head_output_maxmatch_cosine,head_output,3,11,0.768761
original_vs_version1,head_output_maxmatch_cosine,head_output,3,12,0.763963
original_vs_version1,head_output_maxmatch_cosine,head_output,3,13,0.753688
original_vs_version1,head_output_maxmatch_cosine,head_output,3,14,0.791884
original_vs_version1,head_output_maxmatch_cosine,head_output,3,15,0.816372
original_vs_version1,head_output_maxmatch_cosine,head_output,3,16,0.856048
original_vs_version1,head_output_maxmatch_cosine,head_output,3,17,0.825334
original_vs_version1,head_output_maxmatch_cosine,head_output,3,18,0.819087
original_vs_version1,head_output_maxmatch_cosine,head_output,3,19,0.827022
original_vs_version1,head_output_maxmatch_cosine,head_output,3,20,0.770577
original_vs_version1,head_output_maxmatch_cosine,head_output,3,21,0.72974
original_vs_version1,head_output_maxmatch_cosine,head_output,3,22,0.802071
original_vs_version1,head_output_maxmatch_cosine,head_output,3,23,0.808744
original_vs_version1,head_output_maxmatch_cosine,head_output,3,24,0.766325
original_vs_version1,head_output_maxmatch_cosine,head_output,3,25,0.834541
original_vs_version1,head_output_maxmatch_cosine,head_output,3,26,0.798004
original_vs_version1,head_output_maxmatch_cosine,head_output,3,27,0.814137
original_vs_version1,head_output_maxmatch_cosine,head_output,3,28,0.786445
original_vs_version1,head_output_maxmatch_cosine,head_output,3,29,0.790254
original_vs_version1,head_output_maxmatch_cosine,head_output,3,30,0.699356
original_vs_version1,head_output_maxmatch_cosine,head_output,3,31,0.675196
original_vs_version1,head_output_maxmatch_cosine,head_output,3,32,0.54104
original_vs_version1,head_output_maxmatch_cosine,head_output,3,33,0.625231
original_vs_version1,head_output_maxmatch_cosine,head_output,3,34,0.494347
original_vs_version1,head_output_maxmatch_cosine,head_output,3,35,0.791743
original_vs_version1,head_output_maxmatch_cosine,head_output,3,36,0.80201
