pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,0,33,15,1,1,0.601468,0.036809,0.607305,0.88022,0.026486,0.882587,0.212696,0.068905,0.19588,0.091181,0.006534,0.093019
original_vs_version1,0,34,15,1,1,0.122998,0.031716,0.118259,0.769681,0.045194,0.768507,0.058751,0.023666,0.057566,0.358295,0.019769,0.362614
original_vs_version1,0,35,15,1,1,0.351105,0.025354,0.354534,0.832799,0.032098,0.831037,0.092908,0.037476,0.087971,0.360952,0.021533,0.36245
original_vs_version1,0,36,15,1,1,0.227935,0.015394,0.226272,0.814976,0.031436,0.807884,0.05011,0.012435,0.047806,0.446697,0.017133,0.451119
original_vs_version1,0,37,15,1,1,0.635744,0.0333,0.648494,0.931321,0.01473,0.936537,0.086135,0.026186,0.085911,0.199182,0.013491,0.194344
original_vs_version1,0,38,15,1,1,0.581988,0.036792,0.579643,0.923303,0.01774,0.920296,0.067445,0.020219,0.062727,0.22062,0.01614,0.221542
original_vs_version1,0,39,15,1,1,0.705909,0.029617,0.704106,0.936198,0.014749,0.93772,0.086971,0.021853,0.088112,0.15467,0.009299,0.155416
original_vs_version1,1,0,15,1,1,0.441514,0.028547,0.436514,0.872852,0.023771,0.875908,0.083074,0.018075,0.077964,0.198915,0.01561,0.204352
original_vs_version1,1,1,15,1,1,0.400737,0.053173,0.40562,0.906355,0.027771,0.906413,0.057789,0.014848,0.060722,0.299961,0.038659,0.290416
original_vs_version1,1,2,15,1,1,0.132345,0.025532,0.123543,0.846018,0.02906,0.852265,0.042882,0.010488,0.039634,0.470241,0.036462,0.473525
original_vs_version1,1,3,15,1,1,0.046221,0.006944,0.046003,0.787278,0.035325,0.791864,0.051067,0.022431,0.043824,0.411037,0.023061,0.405002
original_vs_version1,1,4,15,1,1,0.093295,0.016729,0.096801,0.840171,0.027077,0.839026,0.037947,0.01342,0.033368,0.51449,0.043045,0.514639
