pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version2,1,8,15,1,1,0.834788,0.032135,0.843998,0.958757,0.02956,0.973901,0.16762,0.083045,0.119403,0.128795,0.015468,0.123027
original_vs_version2,1,6,15,1,1,0.833375,0.078188,0.878256,0.952408,0.05344,0.980999,0.167528,0.134951,0.102603,0.118926,0.038322,0.098889
original_vs_version2,14,20,15,1,1,0.999298,0.001296,0.999833,0.99973,0.000595,0.999956,0.164557,0.244589,0.032047,0.005008,0.001671,0.004413
original_vs_version2,6,39,15,1,1,0.387572,0.055145,0.386849,0.810928,0.064763,0.804506,0.159595,0.055457,0.165639,0.535723,0.034007,0.541508
original_vs_version2,4,20,15,1,1,0.344367,0.057643,0.352099,0.793702,0.076955,0.824656,0.158956,0.078758,0.153439,0.400951,0.031105,0.39344
original_vs_version2,5,17,15,1,1,0.909119,0.009756,0.908617,0.991774,0.005208,0.992756,0.158205,0.100578,0.132871,0.045976,0.00335,0.045062
original_vs_version2,0,8,15,1,1,0.693965,0.053001,0.70408,0.932582,0.061698,0.969822,0.157945,0.110437,0.09688,0.125595,0.010865,0.125392
original_vs_version3,5,2,15,1,1,0.92168,0.013964,0.924433,0.975875,0.014624,0.974166,0.472536,0.251379,0.482832,0.04583,0.005651,0.045265
original_vs_version3,14,24,15,1,1,0.99998,2.1e-05,0.999988,0.999993,7e-06,0.999993,0.420457,0.484217,0.063243,0.001571,0.000962,0.001555
original_vs_version3,5,16,15,1,1,0.953279,0.015992,0.95485,0.990242,0.005259,0.989582,0.272177,0.139978,0.275916,0.033913,0.005357,0.032991
original_vs_version3,2,4,15,1,1,0.708936,0.068018,0.721413,0.893728,0.065168,0.913492,0.263264,0.136485,0.207214,0.205152,0.025183,0.195614
original_vs_version3,14,20,15,1,1,0.999472,0.000908,0.99979,0.999821,0.00035,0.99994,0.216058,0.254082,0.059837,0.005126,0.001968,0.004622
original_vs_version3,4,22,15,1,1,0.536167,0.082515,0.555544,0.833863,0.073159,0.872332,0.213585,0.101687,0.161415,0.418062,0.038252,0.414614
original_vs_version3,24,8,15,1,1,0.731559,0.03677,0.740204,0.912688,0.031978,0.92348,0.209242,0.090913,0.178685,1.304606,0.131841,1.271433
original_vs_version3,24,6,15,1,1,0.703937,0.038984,0.70953,0.901529,0.039381,0.917251,0.20466,0.090318,0.171544,1.5533,0.136986,1.526117
original_vs_version3,39,38,15,1,1,0.90116,0.025995,0.909169,0.970602,0.018859,0.980974,0.190902,0.113236,0.160734,10.459199,1.242278,10.240222
original_vs_version3,3,32,15,1,1,0.263437,0.062902,0.287566,0.70644,0.127585,0.756105,0.190458,0.138169,0.125102,0.34327,0.067177,0.309601
original_vs_version3,38,26,15,1,1,0.576388,0.052053,0.60037,0.874871,0.066274,0.902942,0.190304,0.111286,0.141616,10.77864,1.231447,10.367922
original_vs_version3,17,15,15,1,1,0.7558,0.023094,0.752484,0.944962,0.023748,0.949984,0.185189,0.0687,0.164984,1.614647,0.108722,1.617321
original_vs_version3,5,17,15,1,1,0.906781,0.012609,0.906201,0.989703,0.006038,0.990952,0.18272,0.108728,0.183452,0.047029,0.004842,0.047065
original_vs_version3,4,25,15,1,1,0.452613,0.07273,0.48556,0.819437,0.085251,0.849117,0.182233,0.070539,0.170795,0.25765,0.02116,0.253653
original_vs_version3,8,19,15,1,1,0.701219,0.051246,0.715708,0.898077,0.045316,0.909779,0.180113,0.068114,0.158597,0.605519,0.081575,0.590464
original_vs_version3,1,6,15,1,1,0.832977,0.076009,0.875416,0.948048,0.050869,0.975424,0.178646,0.12692,0.107639,0.118548,0.036563,0.099836
original_vs_version3,25,3,15,1,1,0.524622,0.051979,0.541029,0.891879,0.057163,0.91991,0.17186,0.087903,0.127043,3.126504,0.234843,3.148753
original_vs_version3,1,8,15,1,1,0.836148,0.03426,0.848339,0.956392,0.030406,0.972283,0.167551,0.110416,0.136523,0.127998,0.016028,0.120237
original_vs_version3,14,5,15,1,1,0.474961,0.046164,0.472712,0.831181,0.038072,0.831464,0.167492,0.041475,0.166649,1.128519,0.134053,1.079455
original_vs_version3,6,30,15,1,1,0.568759,0.058153,0.573288,0.90403,0.045197,0.904298,0.164435,0.080941,0.138188,0.195003,0.037312,0.189323
version1_vs_version2,5,2,15,1,1,0.907733,0.018859,0.914186,0.968199,0.014167,0.969113,0.45077,0.205858,0.483737,0.050967,0.005785,0.048592
version1_vs_version2,14,24,15,1,1,0.999962,6.9e-05,0.999988,0.999989,2e-05,0.999994,0.450461,0.46017,0.075995,0.001642,0.000993,0.001302
version1_vs_version2,1,6,15,1,1,0.702157,0.02626,0.70291,0.884221,0.052192,0.861703,0.369621,0.181924,0.420988,0.187233,0.013012,0.186447
version1_vs_version2,2,4,15,1,1,0.656882,0.056029,0.653782,0.852163,0.065189,0.840818,0.332558,0.125634,0.349574,0.230039,0.017785,0.231383
version1_vs_version2,36,23,15,1,1,0.326099,0.172757,0.254966,0.746418,0.105867,0.710358,0.304515,0.144768,0.307207,6.795854,1.369478,6.111788
version1_vs_version2,39,38,15,1,1,0.880783,0.025572,0.889946,0.954938,0.018788,0.953994,0.301359,0.103682,0.327096,11.20463,1.276874,11.003483
version1_vs_version2,3,32,15,1,1,0.2299,0.101811,0.19039,0.627791,0.183532,0.534285,0.292727,0.133073,0.317547,0.433941,0.025355,0.431972
version1_vs_version2,0,8,15,1,1,0.643592,0.036911,0.64837,0.870633,0.054678,0.850761,0.264062,0.109613,0.290911,0.133825,0.009344,0.134649
