layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,13,version1_vs_version3,15,1,1,0.298162,0.032588,0.301668
0,13,version2_vs_version3,15,1,1,0.261395,0.042575,0.259323
0,14,original_vs_version1,15,1,1,0.08714,0.01318,0.093695
0,14,original_vs_version2,15,1,1,0.069845,0.015547,0.069161
0,14,original_vs_version3,15,1,1,0.067459,0.015021,0.06377
0,14,version1_vs_version2,15,1,1,0.087046,0.014653,0.087727
0,14,version1_vs_version3,15,1,1,0.085231,0.015003,0.086565
0,14,version2_vs_version3,15,1,1,0.066869,0.018935,0.063479
0,15,original_vs_version1,15,1,1,0.475078,0.018794,0.472804
0,15,original_vs_version2,15,1,1,0.482336,0.020818,0.480457
0,15,original_vs_version3,15,1,1,0.483512,0.020562,0.481488
0,15,version1_vs_version2,15,1,1,0.463962,0.028431,0.46753
0,15,version1_vs_version3,15,1,1,0.465225,0.027855,0.476257
0,15,version2_vs_version3,15,1,1,0.472033,0.031114,0.477909
0,16,original_vs_version1,15,1,1,0.352116,0.009437,0.350873
0,16,original_vs_version2,15,1,1,0.346276,0.010721,0.345118
0,16,original_vs_version3,15,1,1,0.34743,0.011744,0.348063
0,16,version1_vs_version2,15,1,1,0.34831,0.010492,0.348645
0,16,version1_vs_version3,15,1,1,0.349933,0.010697,0.351078
0,16,version2_vs_version3,15,1,1,0.343518,0.009947,0.344804
0,17,original_vs_version1,15,1,1,0.317998,0.014938,0.313155
0,17,original_vs_version2,15,1,1,0.253748,0.039747,0.242869
0,17,original_vs_version3,15,1,1,0.255328,0.040719,0.246491
0,17,version1_vs_version2,15,1,1,0.329612,0.023997,0.320536
0,17,version1_vs_version3,15,1,1,0.331953,0.024334,0.3272
0,17,version2_vs_version3,15,1,1,0.26761,0.058989,0.244417
0,18,original_vs_version1,15,1,1,0.598992,0.007574,0.597886
0,18,original_vs_version2,15,1,1,0.603013,0.006553,0.60402
0,18,original_vs_version3,15,1,1,0.603942,0.007921,0.603499
0,18,version1_vs_version2,15,1,1,0.593838,0.011121,0.596001
0,18,version1_vs_version3,15,1,1,0.594913,0.011937,0.59514
0,18,version2_vs_version3,15,1,1,0.598863,0.013585,0.603492
0,19,original_vs_version1,15,1,1,0.350016,0.007726,0.349675
0,19,original_vs_version2,15,1,1,0.34164,0.008123,0.341976
0,19,original_vs_version3,15,1,1,0.343307,0.007288,0.345904
0,19,version1_vs_version2,15,1,1,0.346266,0.011037,0.347007
0,19,version1_vs_version3,15,1,1,0.348087,0.009476,0.346592
0,19,version2_vs_version3,15,1,1,0.339428,0.007319,0.339493
0,20,original_vs_version1,15,1,1,0.262735,0.028131,0.259211
0,20,original_vs_version2,15,1,1,0.236127,0.030608,0.233002
0,20,original_vs_version3,15,1,1,0.23669,0.030415,0.237242
0,20,version1_vs_version2,15,1,1,0.269531,0.029479,0.273813
0,20,version1_vs_version3,15,1,1,0.270077,0.029579,0.273285
0,20,version2_vs_version3,15,1,1,0.243258,0.037606,0.234464
0,21,original_vs_version1,15,1,1,0.121366,0.007679,0.117827
0,21,original_vs_version2,15,1,1,0.120038,0.009916,0.117703
0,21,original_vs_version3,15,1,1,0.121065,0.009311,0.118575
0,21,version1_vs_version2,15,1,1,0.120041,0.011773,0.116218
0,21,version1_vs_version3,15,1,1,0.121421,0.011184,0.11737
0,21,version2_vs_version3,15,1,1,0.119873,0.012699,0.116273
0,22,original_vs_version1,15,1,1,0.462038,0.015929,0.464756
0,22,original_vs_version2,15,1,1,0.438287,0.020348,0.439315
0,22,original_vs_version3,15,1,1,0.437907,0.021463,0.436316
0,22,version1_vs_version2,15,1,1,0.466296,0.014104,0.467376
0,22,version1_vs_version3,15,1,1,0.466208,0.014744,0.466071
0,22,version2_vs_version3,15,1,1,0.441743,0.024835,0.437004
0,23,original_vs_version1,15,1,1,0.115881,0.007404,0.113311
0,23,original_vs_version2,15,1,1,0.109855,0.010218,0.107162
0,23,original_vs_version3,15,1,1,0.109145,0.011182,0.10704
0,23,version1_vs_version2,15,1,1,0.11736,0.009439,0.113801
0,23,version1_vs_version3,15,1,1,0.116942,0.01066,0.113183
0,23,version2_vs_version3,15,1,1,0.110832,0.016509,0.104756
0,24,original_vs_version1,15,1,1,0.140083,0.008114,0.135939
0,24,original_vs_version2,15,1,1,0.12447,0.011604,0.122953
0,24,original_vs_version3,15,1,1,0.123856,0.010317,0.124035
0,24,version1_vs_version2,15,1,1,0.140036,0.006794,0.1373
0,24,version1_vs_version3,15,1,1,0.139129,0.007132,0.138181
0,24,version2_vs_version3,15,1,1,0.124065,0.011851,0.120835
0,25,original_vs_version1,15,1,1,0.343985,0.011669,0.339129
0,25,original_vs_version2,15,1,1,0.315995,0.020821,0.312292
