pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version2,38,23,15,1,1,0.196502,0.024842,0.201627,0.821271,0.067044,0.841208,0.058724,0.028346,0.050288,26.164619,1.671847,26.392371
original_vs_version2,39,5,15,1,1,0.206874,0.021861,0.202193,0.837197,0.070267,0.86149,0.060688,0.028691,0.055061,25.405338,0.946571,25.438583
original_vs_version2,38,21,15,1,1,0.182214,0.02516,0.1907,0.827262,0.056774,0.843638,0.063182,0.029334,0.054769,25.358286,1.367255,25.732787
original_vs_version2,39,14,15,1,1,0.175021,0.021344,0.181599,0.848538,0.063735,0.876896,0.05424,0.026146,0.046104,25.128361,2.287706,25.18302
original_vs_version2,39,31,15,1,1,0.164076,0.021814,0.165699,0.81423,0.080612,0.846859,0.062823,0.018515,0.056443,24.558386,1.172749,24.873967
original_vs_version2,39,24,15,1,1,0.207441,0.020178,0.214667,0.86282,0.047468,0.880029,0.05278,0.015671,0.048631,24.330389,1.318315,23.956982
original_vs_version2,39,25,15,1,1,0.549587,0.028898,0.558293,0.939246,0.03556,0.957195,0.050049,0.024771,0.043864,23.610754,2.589905,22.967597
original_vs_version3,39,11,15,1,1,0.081076,0.010684,0.084264,0.789832,0.06639,0.809252,0.048318,0.008256,0.046098,43.401598,2.012041,42.955492
original_vs_version3,38,20,15,1,1,0.147079,0.020672,0.147237,0.78115,0.066007,0.800802,0.058793,0.01813,0.053924,39.702229,2.499289,38.834775
original_vs_version3,38,0,15,1,1,0.561656,0.036428,0.553467,0.925863,0.031516,0.937561,0.074115,0.036506,0.064711,37.471126,1.80908,37.715862
original_vs_version3,38,22,15,1,1,0.195746,0.02525,0.196921,0.79703,0.066087,0.812417,0.070254,0.019014,0.064672,34.399558,2.782435,33.841723
original_vs_version3,39,27,15,1,1,0.443974,0.017106,0.444172,0.888981,0.029684,0.901081,0.058144,0.020009,0.057625,33.182527,2.273163,33.112708
original_vs_version3,39,6,15,1,1,0.136912,0.012412,0.137996,0.787823,0.067132,0.810738,0.050269,0.0099,0.050653,32.046857,1.556068,32.197044
original_vs_version3,38,16,15,1,1,0.240014,0.02389,0.235091,0.817121,0.056047,0.83132,0.074481,0.017799,0.06988,31.965055,1.98694,31.681946
original_vs_version3,39,10,15,1,1,0.134831,0.014634,0.137216,0.799449,0.06354,0.817852,0.06437,0.019304,0.060251,31.267784,1.88735,30.719688
original_vs_version3,38,24,15,1,1,0.222593,0.028637,0.228676,0.819885,0.057674,0.83659,0.056706,0.01759,0.05372,30.992748,2.482341,30.580438
original_vs_version3,39,12,15,1,1,0.128775,0.016658,0.132284,0.811717,0.06229,0.831193,0.058084,0.022013,0.046967,30.469284,1.510528,30.253794
original_vs_version3,39,29,15,1,1,0.495768,0.012169,0.492898,0.897813,0.036145,0.909838,0.062902,0.017111,0.06773,30.167975,1.65735,30.068737
original_vs_version3,39,13,15,1,1,0.137417,0.016278,0.136723,0.807051,0.064145,0.827033,0.053886,0.017293,0.048825,29.870204,2.220522,29.329887
original_vs_version3,39,1,15,1,1,0.27766,0.026183,0.281286,0.849336,0.052655,0.866419,0.067948,0.025125,0.063152,28.249957,1.403187,28.164554
original_vs_version3,38,23,15,1,1,0.191821,0.021024,0.194441,0.798622,0.060532,0.814991,0.064481,0.028682,0.058841,26.36401,2.192052,26.498762
original_vs_version3,38,21,15,1,1,0.178328,0.019959,0.184146,0.804127,0.05363,0.819336,0.070447,0.023334,0.064526,25.507295,1.727011,25.897846
original_vs_version3,39,5,15,1,1,0.203328,0.018638,0.202029,0.810081,0.065381,0.837519,0.064985,0.018776,0.058693,25.455408,0.967778,25.612115
original_vs_version3,39,14,15,1,1,0.171077,0.021972,0.170787,0.822538,0.058648,0.845275,0.059874,0.011505,0.062839,24.929581,2.269397,24.925742
original_vs_version3,39,31,15,1,1,0.159936,0.022649,0.161935,0.782527,0.079655,0.815266,0.062957,0.017746,0.057637,24.687771,1.161457,24.772946
original_vs_version3,39,24,15,1,1,0.205741,0.021367,0.202833,0.841674,0.049657,0.847926,0.050983,0.015857,0.04896,24.301281,1.307407,24.431326
original_vs_version3,39,25,15,1,1,0.548464,0.029123,0.559697,0.929477,0.032749,0.943269,0.055333,0.023453,0.04915,23.636447,2.69051,22.732315
version1_vs_version2,39,11,15,1,1,0.081853,0.011508,0.081512,0.755752,0.088533,0.728641,0.054891,0.014857,0.055066,43.957121,2.085211,43.401504
version1_vs_version2,38,20,15,1,1,0.129191,0.018693,0.130126,0.748593,0.084196,0.732568,0.056606,0.010386,0.05768,39.438252,2.127091,39.262137
version1_vs_version2,38,0,15,1,1,0.531581,0.028947,0.530985,0.898893,0.035769,0.88826,0.079976,0.034662,0.07704,37.623429,1.447073,37.560108
version1_vs_version2,38,22,15,1,1,0.176255,0.027115,0.176423,0.762782,0.083233,0.740008,0.075301,0.021783,0.072829,35.205379,2.391637,34.776314
version1_vs_version2,38,16,15,1,1,0.206708,0.029011,0.213581,0.775993,0.078658,0.744691,0.073382,0.018324,0.078201,32.634993,1.107032,32.905203
version1_vs_version2,39,10,15,1,1,0.133462,0.015028,0.135601,0.77219,0.086371,0.743172,0.061587,0.024526,0.05209,32.128616,2.075916,32.305275
version1_vs_version2,39,27,15,1,1,0.43969,0.025919,0.431238,0.869857,0.052234,0.853433,0.067249,0.028128,0.064989,31.919798,2.993308,32.167209
version1_vs_version2,39,6,15,1,1,0.125514,0.019183,0.122065,0.761427,0.083544,0.721095,0.055566,0.015067,0.057129,31.716332,1.81299,32.285082
version1_vs_version2,38,24,15,1,1,0.192957,0.023923,0.195866,0.787889,0.073114,0.759207,0.073031,0.026755,0.063122,31.687353,2.42144,31.238088
version1_vs_version2,39,29,15,1,1,0.484046,0.010335,0.482798,0.878406,0.046595,0.866982,0.060656,0.015643,0.061813,30.51833,1.303057,30.162634
version1_vs_version2,39,12,15,1,1,0.138274,0.021389,0.134572,0.784756,0.081824,0.749396,0.053824,0.01036,0.055392,30.24911,1.475737,30.276701
version1_vs_version2,39,13,15,1,1,0.142511,0.015125,0.145603,0.777706,0.082891,0.740161,0.056573,0.018907,0.052738,30.023042,2.266744,29.222942
version1_vs_version2,39,1,15,1,1,0.249097,0.033851,0.245579,0.808758,0.070726,0.77781,0.075646,0.020103,0.069948,28.915038,0.778084,28.929186
version1_vs_version2,38,23,15,1,1,0.172611,0.021238,0.174166,0.763397,0.080977,0.737572,0.060764,0.018806,0.063485,26.918167,2.022637,26.891314
version1_vs_version2,39,5,15,1,1,0.190603,0.024862,0.186674,0.786045,0.07743,0.759447,0.068249,0.018471,0.070688,26.187072,0.777163,26.255716
version1_vs_version2,39,14,15,1,1,0.173849,0.021697,0.178183,0.799618,0.073588,0.769545,0.065469,0.01756,0.064639,25.706852,2.460773,25.450502
version1_vs_version2,39,25,15,1,1,0.516868,0.015463,0.515518,0.89825,0.035224,0.886027,0.059631,0.021916,0.055542,25.499169,2.035452,25.422596
version1_vs_version2,39,31,15,1,1,0.138557,0.023904,0.141924,0.754223,0.090253,0.714471,0.066244,0.020228,0.058958,25.177472,1.22572,25.481408
version1_vs_version2,39,21,15,1,1,0.190684,0.019565,0.184137,0.805599,0.068821,0.779645,0.070467,0.024363,0.065918,24.527878,1.162863,24.523097
version1_vs_version2,39,24,15,1,1,0.181612,0.023079,0.182483,0.821544,0.06348,0.813134,0.053936,0.013536,0.057796,24.436579,1.041703,24.465278
version1_vs_version3,39,11,15,1,1,0.080195,0.01111,0.081794,0.733789,0.070943,0.705963,0.054705,0.016921,0.049275,43.898335,2.379053,43.0597
version1_vs_version3,38,20,15,1,1,0.127322,0.018365,0.127493,0.72916,0.069175,0.717721,0.061721,0.011535,0.063632,39.671406,2.510264,39.044261
version1_vs_version3,38,0,15,1,1,0.532241,0.029873,0.531931,0.894256,0.030402,0.89479,0.081983,0.024465,0.077787,37.796412,1.540793,37.739794
version1_vs_version3,38,22,15,1,1,0.175101,0.023071,0.170005,0.747795,0.067657,0.741259,0.077175,0.020462,0.070826,35.263851,2.59267,33.745666
version1_vs_version3,38,16,15,1,1,0.206932,0.027444,0.206925,0.764827,0.065532,0.757592,0.079628,0.018136,0.081036,32.831686,1.444671,33.276553
version1_vs_version3,39,10,15,1,1,0.131404,0.013589,0.133727,0.75361,0.072037,0.726873,0.060802,0.016285,0.056146,32.018198,2.345123,31.920179
version1_vs_version3,39,27,15,1,1,0.440895,0.024285,0.432981,0.863952,0.045144,0.853545,0.072942,0.023102,0.07081,31.826883,2.845605,32.261983
version1_vs_version3,39,6,15,1,1,0.125359,0.018428,0.124823,0.741155,0.068501,0.71284,0.054351,0.012713,0.0526,31.67855,1.935006,32.217405
version1_vs_version3,38,24,15,1,1,0.19061,0.022462,0.193233,0.771427,0.064178,0.742119,0.073764,0.029397,0.07203,31.475187,2.634653,30.621421
version1_vs_version3,39,29,15,1,1,0.483268,0.009796,0.479689,0.869369,0.037223,0.861621,0.07012,0.019312,0.069925,30.600211,1.539853,30.056126
version1_vs_version3,39,12,15,1,1,0.133948,0.020298,0.132988,0.765963,0.070433,0.739961,0.063151,0.01863,0.06114,30.337416,1.55038,30.029672
version1_vs_version3,39,13,15,1,1,0.139385,0.014439,0.140871,0.759437,0.070721,0.724768,0.060686,0.015114,0.058913,30.04318,2.250495,29.157067
version1_vs_version3,39,1,15,1,1,0.249307,0.029815,0.243313,0.799883,0.05981,0.783484,0.080409,0.027867,0.079993,28.927268,0.855901,28.78924
version1_vs_version3,38,23,15,1,1,0.170111,0.02039,0.172645,0.748426,0.06552,0.730108,0.063727,0.010618,0.060738,27.111604,2.596415,27.183491
version1_vs_version3,39,5,15,1,1,0.189126,0.025444,0.190551,0.769876,0.066882,0.759161,0.068902,0.0204,0.069377,26.246141,0.758471,26.214679
