pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,1,0,1,1,1,0.230804,,0.230804,0.758305,,0.758305,0.024967,,0.024967,0.227003,,0.227003
gpqa_orgn_vs_gpqa_ver1,1,1,1,1,1,0.281515,,0.281515,0.78263,,0.78263,0.007376,,0.007376,0.330767,,0.330767
gpqa_orgn_vs_gpqa_ver1,1,2,1,1,1,0.114042,,0.114042,0.736754,,0.736754,0.006329,,0.006329,0.389068,,0.389068
gpqa_orgn_vs_gpqa_ver1,1,3,1,1,1,0.026954,,0.026954,0.623946,,0.623946,0.008907,,0.008907,0.391713,,0.391713
gpqa_orgn_vs_gpqa_ver1,1,4,1,1,1,0.038745,,0.038745,0.702457,,0.702457,0.007387,,0.007387,0.522672,,0.522672
gpqa_orgn_vs_gpqa_ver1,1,5,1,1,1,0.730102,,0.730102,0.874602,,0.874602,0.105039,,0.105039,0.177438,,0.177438
gpqa_orgn_vs_gpqa_ver1,1,6,1,1,1,0.779551,,0.779551,0.897518,,0.897518,0.19825,,0.19825,0.140315,,0.140315
gpqa_orgn_vs_gpqa_ver1,1,7,1,1,1,0.840943,,0.840943,0.932709,,0.932709,0.149756,,0.149756,0.118905,,0.118905
gpqa_orgn_vs_gpqa_ver1,1,8,1,1,1,0.761907,,0.761907,0.891965,,0.891965,0.207096,,0.207096,0.162898,,0.162898
gpqa_orgn_vs_gpqa_ver1,1,9,1,1,1,0.842474,,0.842474,0.941358,,0.941358,0.125116,,0.125116,0.115,,0.115
gpqa_orgn_vs_gpqa_ver1,1,10,1,1,1,0.089826,,0.089826,0.595091,,0.595091,0.029882,,0.029882,0.282514,,0.282514
gpqa_orgn_vs_gpqa_ver1,1,11,1,1,1,0.133388,,0.133388,0.618449,,0.618449,0.02409,,0.02409,0.263064,,0.263064
gpqa_orgn_vs_gpqa_ver1,1,12,1,1,1,0.844827,,0.844827,0.950854,,0.950854,0.070192,,0.070192,0.132951,,0.132951
gpqa_orgn_vs_gpqa_ver1,1,13,1,1,1,0.05661,,0.05661,0.593869,,0.593869,0.029824,,0.029824,0.379867,,0.379867
gpqa_orgn_vs_gpqa_ver1,1,14,1,1,1,0.12874,,0.12874,0.647294,,0.647294,0.045602,,0.045602,0.293973,,0.293973
gpqa_orgn_vs_gpqa_ver1,1,15,1,1,1,0.135997,,0.135997,0.758423,,0.758423,0.024771,,0.024771,0.206432,,0.206432
gpqa_orgn_vs_gpqa_ver1,1,16,1,1,1,0.773543,,0.773543,0.922391,,0.922391,0.112102,,0.112102,0.082341,,0.082341
gpqa_orgn_vs_gpqa_ver1,1,17,1,1,1,0.285128,,0.285128,0.763001,,0.763001,0.02141,,0.02141,0.224485,,0.224485
gpqa_orgn_vs_gpqa_ver1,1,18,1,1,1,0.327106,,0.327106,0.797119,,0.797119,0.0397,,0.0397,0.175702,,0.175702
gpqa_orgn_vs_gpqa_ver1,1,19,1,1,1,0.097799,,0.097799,0.718192,,0.718192,0.016693,,0.016693,0.323357,,0.323357
gpqa_orgn_vs_gpqa_ver1,1,20,1,1,1,0.020771,,0.020771,0.560417,,0.560417,0.027709,,0.027709,0.434959,,0.434959
gpqa_orgn_vs_gpqa_ver1,1,21,1,1,1,0.020621,,0.020621,0.595414,,0.595414,0.017622,,0.017622,0.512834,,0.512834
gpqa_orgn_vs_gpqa_ver1,1,22,1,1,1,0.071133,,0.071133,0.641094,,0.641094,0.016279,,0.016279,0.454025,,0.454025
gpqa_orgn_vs_gpqa_ver1,1,23,1,1,1,0.196663,,0.196663,0.718021,,0.718021,0.009155,,0.009155,0.339225,,0.339225
