layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,10,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.339078,,0.339078
0,10,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.349245,,0.349245
0,11,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.485336,,0.485336
0,11,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.511669,,0.511669
0,11,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.511867,,0.511867
0,11,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.536972,,0.536972
0,11,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.522452,,0.522452
0,11,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.514212,,0.514212
0,12,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.219164,,0.219164
0,12,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.202268,,0.202268
0,12,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.22462,,0.22462
0,12,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.245236,,0.245236
0,12,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.246443,,0.246443
0,12,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.260368,,0.260368
0,13,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.236478,,0.236478
0,13,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.232462,,0.232462
0,13,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.249645,,0.249645
0,13,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.331494,,0.331494
0,13,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.323029,,0.323029
0,13,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.333793,,0.333793
0,14,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.112952,,0.112952
0,14,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.06906,,0.06906
0,14,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.102211,,0.102211
0,14,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.078941,,0.078941
0,14,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.090326,,0.090326
0,14,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.115427,,0.115427
0,15,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.47081,,0.47081
0,15,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.483637,,0.483637
0,15,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.45806,,0.45806
0,15,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.427733,,0.427733
0,15,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.453617,,0.453617
0,15,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.403301,,0.403301
0,16,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.379201,,0.379201
0,16,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.371957,,0.371957
0,16,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.390705,,0.390705
