pair,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
version1_vs_version2,qkv,q,mean_pairwise_cosine,0.543689,0.11557,0.533052,0.161896,0.915313,80000,cosine: higher means more similar
version1_vs_version2,qkv,q,maxmatch_cosine,0.887688,0.041746,0.89348,0.664698,0.989147,80000,cosine: higher means more similar
version1_vs_version2,qkv,q,mmd_rbf,0.006571,0.005731,0.005269,0.000409,0.155743,80000,mmd_rbf: lower means more similar
version1_vs_version2,qkv,q,cka_linear_valid_only,0.837653,0.066068,0.847828,0.370708,0.989236,1600,cka: higher means more structurally similar; valid only
version1_vs_version2,qkv,q,cka_valid_rate,0.02,,,,,80000,fraction of rows with a valid CKA comparison
version1_vs_version2,qkv,v,mean_pairwise_cosine,0.093434,0.064665,0.078914,0.007349,0.525128,16000,cosine: higher means more similar
version1_vs_version2,qkv,v,maxmatch_cosine,0.843239,0.057185,0.849484,0.60619,0.988767,16000,cosine: higher means more similar
version1_vs_version2,qkv,v,mmd_rbf,0.005543,0.00639,0.004048,0.000764,0.170073,16000,mmd_rbf: lower means more similar
version1_vs_version2,qkv,v,cka_linear_valid_only,0.636514,0.113881,0.650381,0.160268,0.870737,320,cka: higher means more structurally similar; valid only
version1_vs_version2,qkv,v,cka_valid_rate,0.02,,,,,16000,fraction of rows with a valid CKA comparison
version1_vs_version3,qkv,k,mean_pairwise_cosine,0.524153,0.173443,0.504318,0.133164,0.988565,16000,cosine: higher means more similar
version1_vs_version3,qkv,k,maxmatch_cosine,0.9036,0.04514,0.909054,0.695692,0.998941,16000,cosine: higher means more similar
version1_vs_version3,qkv,k,mmd_rbf,0.005483,0.003472,0.004707,0.001177,0.054742,16000,mmd_rbf: lower means more similar
version1_vs_version3,qkv,k,cka_linear_valid_only,0.718324,0.125996,0.746406,0.090232,0.98662,320,cka: higher means more structurally similar; valid only
version1_vs_version3,qkv,k,cka_valid_rate,0.02,,,,,16000,fraction of rows with a valid CKA comparison
version1_vs_version3,qkv,q,mean_pairwise_cosine,0.543713,0.115519,0.533,0.162634,0.915731,80000,cosine: higher means more similar
version1_vs_version3,qkv,q,maxmatch_cosine,0.879289,0.04549,0.883326,0.680893,0.995714,80000,cosine: higher means more similar
version1_vs_version3,qkv,q,mmd_rbf,0.007245,0.005835,0.005955,0.000451,0.144405,80000,mmd_rbf: lower means more similar
version1_vs_version3,qkv,q,cka_linear_valid_only,0.730072,0.103274,0.74608,0.193595,0.986483,1600,cka: higher means more structurally similar; valid only
version1_vs_version3,qkv,q,cka_valid_rate,0.02,,,,,80000,fraction of rows with a valid CKA comparison
version1_vs_version3,qkv,v,mean_pairwise_cosine,0.09307,0.06458,0.078655,0.007869,0.526035,16000,cosine: higher means more similar
version1_vs_version3,qkv,v,maxmatch_cosine,0.830406,0.059862,0.834763,0.584776,0.987861,16000,cosine: higher means more similar
