pair,pair_category,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,qkv,v,mmd_rbf,0.015819,0.01934,0.010056,0.004682,0.227061,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,k,mean_pairwise_cosine,0.55434,0.157367,0.525605,0.15704,0.986776,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,k,maxmatch_cosine,0.771301,0.08686,0.76342,0.465069,0.994217,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,k,mmd_rbf,0.056155,0.018881,0.054466,0.015949,0.201763,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,q,mean_pairwise_cosine,0.544258,0.115192,0.535908,0.226663,0.917431,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,q,maxmatch_cosine,0.750427,0.06803,0.745672,0.550028,0.956552,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,q,mmd_rbf,0.05957,0.022706,0.055435,0.015373,0.264489,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,v,mean_pairwise_cosine,0.063785,0.06317,0.045072,0.003497,0.402701,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,v,maxmatch_cosine,0.401084,0.081931,0.389276,0.247589,0.750219,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,qkv,v,mmd_rbf,0.032836,0.025196,0.02678,0.012581,0.264715,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,k,mean_pairwise_cosine,0.554778,0.157356,0.525161,0.164431,0.986333,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,k,maxmatch_cosine,0.777229,0.084184,0.767685,0.475934,0.99389,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,k,mmd_rbf,0.051111,0.015535,0.050392,0.01727,0.192005,320,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,q,mean_pairwise_cosine,0.546426,0.116777,0.539324,0.212832,0.918051,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,q,maxmatch_cosine,0.758082,0.068375,0.75616,0.587109,0.957836,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,q,mmd_rbf,0.053833,0.016099,0.052222,0.015432,0.147268,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,v,mean_pairwise_cosine,0.07037,0.067292,0.05167,0.006147,0.400703,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,v,maxmatch_cosine,0.430061,0.089161,0.415562,0.256506,0.816931,320,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,qkv,v,mmd_rbf,0.026812,0.0168,0.02325,0.008599,0.170974,320,mmd_rbf: lower means more similar; component-local scale
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,head_output,head_output,mean_pairwise_cosine,0.255281,0.181638,0.204382,0.020621,0.999988,1600,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,head_output,head_output,maxmatch_cosine,0.723522,0.103363,0.725333,0.375143,0.999997,1600,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,head_output,head_output,mmd_rbf,0.016659,0.027356,0.00753,0.0027,0.312833,1600,mmd_rbf: lower means more similar; component-local scale
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,head_output,head_output,l2_mean,4.280043,5.840895,2.64902,0.001689,53.244673,1600,l2_mean: lower means more similar; same-layer comparison preferred
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,head_output,head_output,mean_pairwise_cosine,0.24806,0.194458,0.194255,-0.034224,0.999988,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,head_output,head_output,maxmatch_cosine,0.610014,0.143113,0.595264,0.286173,0.999996,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,head_output,head_output,mmd_rbf,0.05399,0.043022,0.041526,0.006768,0.417045,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,head_output,head_output,l2_mean,4.122955,5.418437,2.615098,0.001752,49.459456,1600,l2_mean: lower means more similar; same-layer comparison preferred
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,head_output,head_output,mean_pairwise_cosine,0.235982,0.189855,0.186,-0.036548,0.999988,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,head_output,head_output,maxmatch_cosine,0.591585,0.142989,0.574668,0.280027,0.999996,1600,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,head_output,head_output,mmd_rbf,0.066272,0.057732,0.048372,0.008625,0.484104,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,head_output,head_output,l2_mean,4.161977,5.439825,2.656837,0.001687,49.150261,1600,l2_mean: lower means more similar; same-layer comparison preferred
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,head_output,head_output,mean_pairwise_cosine,0.316008,0.197104,0.27235,0.017994,0.999991,1600,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,head_output,head_output,maxmatch_cosine,0.729576,0.116888,0.737616,0.328753,0.999998,1600,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,head_output,head_output,mmd_rbf,0.031697,0.047593,0.013381,0.003537,0.494409,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,head_output,head_output,l2_mean,3.70225,4.695635,2.326088,0.00151,42.926206,1600,l2_mean: lower means more similar; same-layer comparison preferred
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,head_output,head_output,mean_pairwise_cosine,0.237563,0.191889,0.18468,-0.028034,0.99999,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,head_output,head_output,maxmatch_cosine,0.594174,0.142827,0.579981,0.260351,0.999996,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,head_output,head_output,mmd_rbf,0.064502,0.056672,0.047612,0.006942,0.521372,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,head_output,head_output,l2_mean,4.063078,5.270821,2.648566,0.001693,48.37012,1600,l2_mean: lower means more similar; same-layer comparison preferred
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,head_output,head_output,mean_pairwise_cosine,0.250114,0.194366,0.195607,-0.029016,0.99999,1600,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,head_output,head_output,maxmatch_cosine,0.617794,0.140199,0.603316,0.28301,0.999996,1600,cosine: higher means more similar
