pair,layer,n_rows,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gsm8k_ver1_vs_gpqa_ver1,16,1,1,0.35232,,0.35232,0.539732,,0.539732,0.041132,,0.041132
gsm8k_ver1_vs_gpqa_ver1,17,1,1,0.360183,,0.360183,0.545222,,0.545222,0.041514,,0.041514
gsm8k_ver1_vs_gpqa_ver1,18,1,1,0.383414,,0.383414,0.560492,,0.560492,0.044541,,0.044541
gsm8k_ver1_vs_gpqa_ver1,19,1,1,0.386534,,0.386534,0.558851,,0.558851,0.046411,,0.046411
gsm8k_ver1_vs_gpqa_ver1,20,1,1,0.39104,,0.39104,0.561026,,0.561026,0.042507,,0.042507
gsm8k_ver1_vs_gpqa_ver1,21,1,1,0.446335,,0.446335,0.609343,,0.609343,0.039265,,0.039265
gsm8k_ver1_vs_gpqa_ver1,22,1,1,0.410774,,0.410774,0.579547,,0.579547,0.041661,,0.041661
gsm8k_ver1_vs_gpqa_ver1,23,1,1,0.439704,,0.439704,0.599548,,0.599548,0.045196,,0.045196
gsm8k_ver1_vs_gpqa_ver1,24,1,1,0.461674,,0.461674,0.616409,,0.616409,0.041819,,0.041819
gsm8k_ver1_vs_gpqa_ver1,25,1,1,0.444054,,0.444054,0.602434,,0.602434,0.047224,,0.047224
gsm8k_ver1_vs_gpqa_ver1,26,1,1,0.464255,,0.464255,0.615931,,0.615931,0.046058,,0.046058
gsm8k_ver1_vs_gpqa_ver1,27,1,1,0.47382,,0.47382,0.614866,,0.614866,0.050162,,0.050162
gsm8k_ver1_vs_gpqa_ver1,28,1,1,0.46042,,0.46042,0.607844,,0.607844,0.042505,,0.042505
gsm8k_ver1_vs_gpqa_ver1,29,1,1,0.437494,,0.437494,0.585863,,0.585863,0.041952,,0.041952
gsm8k_ver1_vs_gpqa_ver1,30,1,1,0.433833,,0.433833,0.58924,,0.58924,0.043312,,0.043312
gsm8k_ver1_vs_gpqa_ver1,31,1,1,0.437649,,0.437649,0.582555,,0.582555,0.041286,,0.041286
gsm8k_ver1_vs_gpqa_ver1,32,1,1,0.461016,,0.461016,0.606202,,0.606202,0.044549,,0.044549
gsm8k_ver1_vs_gpqa_ver1,33,1,1,0.482669,,0.482669,0.625688,,0.625688,0.041285,,0.041285
gsm8k_ver1_vs_gpqa_ver1,34,1,1,0.474235,,0.474235,0.61807,,0.61807,0.039642,,0.039642
gsm8k_ver1_vs_gpqa_ver1,35,1,1,0.492791,,0.492791,0.627219,,0.627219,0.042608,,0.042608
gsm8k_ver1_vs_gpqa_ver1,36,1,1,0.533214,,0.533214,0.666618,,0.666618,0.038811,,0.038811
gsm8k_ver1_vs_gpqa_ver1,37,1,1,0.541907,,0.541907,0.679495,,0.679495,0.040336,,0.040336
gsm8k_ver1_vs_gpqa_ver1,38,1,1,0.584517,,0.584517,0.712864,,0.712864,0.045337,,0.045337
gsm8k_ver1_vs_gpqa_ver1,39,1,1,0.694461,,0.694461,0.798011,,0.798011,0.048143,,0.048143
gsm8k_ver1_vs_gpqa_ver1,40,1,1,0.509599,,0.509599,0.754927,,0.754927,0.065722,,0.065722
