pair,layer,n_rows,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gsm8k_orgn_vs_gpqa_orgn,3,1,1,0.586383,,0.586383,0.762137,,0.762137,0.018962,,0.018962
gsm8k_orgn_vs_gpqa_orgn,4,1,1,0.556888,,0.556888,0.737568,,0.737568,0.025008,,0.025008
gsm8k_orgn_vs_gpqa_orgn,5,1,1,0.554248,,0.554248,0.729739,,0.729739,0.029498,,0.029498
gsm8k_orgn_vs_gpqa_orgn,6,1,1,0.518012,,0.518012,0.703617,,0.703617,0.025888,,0.025888
gsm8k_orgn_vs_gpqa_orgn,7,1,1,0.479931,,0.479931,0.667608,,0.667608,0.031969,,0.031969
gsm8k_orgn_vs_gpqa_orgn,8,1,1,0.504698,,0.504698,0.677547,,0.677547,0.038827,,0.038827
gsm8k_orgn_vs_gpqa_orgn,9,1,1,0.507363,,0.507363,0.677411,,0.677411,0.033473,,0.033473
gsm8k_orgn_vs_gpqa_orgn,10,1,1,0.474664,,0.474664,0.65206,,0.65206,0.029048,,0.029048
gsm8k_orgn_vs_gpqa_orgn,11,1,1,0.455226,,0.455226,0.636949,,0.636949,0.026531,,0.026531
gsm8k_orgn_vs_gpqa_orgn,12,1,1,0.389596,,0.389596,0.575241,,0.575241,0.030703,,0.030703
gsm8k_orgn_vs_gpqa_orgn,13,1,1,0.35891,,0.35891,0.54987,,0.54987,0.036613,,0.036613
gsm8k_orgn_vs_gpqa_orgn,14,1,1,0.34951,,0.34951,0.538726,,0.538726,0.035585,,0.035585
gsm8k_orgn_vs_gpqa_orgn,15,1,1,0.352685,,0.352685,0.537392,,0.537392,0.036652,,0.036652
gsm8k_orgn_vs_gpqa_orgn,16,1,1,0.363278,,0.363278,0.543454,,0.543454,0.039025,,0.039025
gsm8k_orgn_vs_gpqa_orgn,17,1,1,0.39238,,0.39238,0.566936,,0.566936,0.039238,,0.039238
gsm8k_orgn_vs_gpqa_orgn,18,1,1,0.39822,,0.39822,0.570295,,0.570295,0.043836,,0.043836
gsm8k_orgn_vs_gpqa_orgn,19,1,1,0.405441,,0.405441,0.57433,,0.57433,0.042129,,0.042129
gsm8k_orgn_vs_gpqa_orgn,20,1,1,0.405205,,0.405205,0.572118,,0.572118,0.040931,,0.040931
gsm8k_orgn_vs_gpqa_orgn,21,1,1,0.461103,,0.461103,0.620171,,0.620171,0.040374,,0.040374
gsm8k_orgn_vs_gpqa_orgn,22,1,1,0.438984,,0.438984,0.599481,,0.599481,0.043445,,0.043445
gsm8k_orgn_vs_gpqa_orgn,23,1,1,0.46045,,0.46045,0.610983,,0.610983,0.045151,,0.045151
gsm8k_orgn_vs_gpqa_orgn,24,1,1,0.479134,,0.479134,0.636828,,0.636828,0.041865,,0.041865
gsm8k_orgn_vs_gpqa_orgn,25,1,1,0.467601,,0.467601,0.619735,,0.619735,0.046556,,0.046556
gsm8k_orgn_vs_gpqa_orgn,26,1,1,0.481531,,0.481531,0.626707,,0.626707,0.050773,,0.050773
gsm8k_orgn_vs_gpqa_orgn,27,1,1,0.488445,,0.488445,0.620981,,0.620981,0.049477,,0.049477
gsm8k_orgn_vs_gpqa_orgn,28,1,1,0.480192,,0.480192,0.623079,,0.623079,0.045874,,0.045874
gsm8k_orgn_vs_gpqa_orgn,29,1,1,0.459137,,0.459137,0.605095,,0.605095,0.043254,,0.043254
gsm8k_orgn_vs_gpqa_orgn,30,1,1,0.455846,,0.455846,0.593151,,0.593151,0.046038,,0.046038
gsm8k_orgn_vs_gpqa_orgn,31,1,1,0.473907,,0.473907,0.613536,,0.613536,0.045881,,0.045881
gsm8k_orgn_vs_gpqa_orgn,32,1,1,0.473502,,0.473502,0.613286,,0.613286,0.043533,,0.043533
gsm8k_orgn_vs_gpqa_orgn,33,1,1,0.469693,,0.469693,0.613706,,0.613706,0.043397,,0.043397
gsm8k_orgn_vs_gpqa_orgn,34,1,1,0.497343,,0.497343,0.650229,,0.650229,0.0396,,0.0396
gsm8k_orgn_vs_gpqa_orgn,35,1,1,0.5077,,0.5077,0.645901,,0.645901,0.036902,,0.036902
gsm8k_orgn_vs_gpqa_orgn,36,1,1,0.535929,,0.535929,0.664854,,0.664854,0.037454,,0.037454
gsm8k_orgn_vs_gpqa_orgn,37,1,1,0.574734,,0.574734,0.695421,,0.695421,0.038696,,0.038696
gsm8k_orgn_vs_gpqa_orgn,38,1,1,0.609793,,0.609793,0.723169,,0.723169,0.040897,,0.040897
gsm8k_orgn_vs_gpqa_orgn,39,1,1,0.708556,,0.708556,0.797917,,0.797917,0.047459,,0.047459
gsm8k_orgn_vs_gpqa_orgn,40,1,1,0.424875,,0.424875,0.717908,,0.717908,0.075497,,0.075497
gsm8k_orgn_vs_gpqa_ver1,0,1,1,0.101947,,0.101947,0.377204,,0.377204,0.016922,,0.016922
gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.553125,,0.553125,0.729437,,0.729437,0.021433,,0.021433
gsm8k_orgn_vs_gpqa_ver1,2,1,1,0.572354,,0.572354,0.741226,,0.741226,0.020116,,0.020116
gsm8k_orgn_vs_gpqa_ver1,3,1,1,0.550325,,0.550325,0.71744,,0.71744,0.022579,,0.022579
gsm8k_orgn_vs_gpqa_ver1,4,1,1,0.518304,,0.518304,0.692764,,0.692764,0.030279,,0.030279
gsm8k_orgn_vs_gpqa_ver1,5,1,1,0.522042,,0.522042,0.699536,,0.699536,0.031881,,0.031881
gsm8k_orgn_vs_gpqa_ver1,6,1,1,0.480155,,0.480155,0.666493,,0.666493,0.030808,,0.030808
gsm8k_orgn_vs_gpqa_ver1,7,1,1,0.45597,,0.45597,0.62957,,0.62957,0.039827,,0.039827
gsm8k_orgn_vs_gpqa_ver1,8,1,1,0.482291,,0.482291,0.654238,,0.654238,0.040848,,0.040848
gsm8k_orgn_vs_gpqa_ver1,9,1,1,0.487262,,0.487262,0.651717,,0.651717,0.038924,,0.038924
gsm8k_orgn_vs_gpqa_ver1,10,1,1,0.479466,,0.479466,0.65192,,0.65192,0.03428,,0.03428
gsm8k_orgn_vs_gpqa_ver1,11,1,1,0.418519,,0.418519,0.598567,,0.598567,0.030231,,0.030231
gsm8k_orgn_vs_gpqa_ver1,12,1,1,0.386627,,0.386627,0.569852,,0.569852,0.03334,,0.03334
gsm8k_orgn_vs_gpqa_ver1,13,1,1,0.351648,,0.351648,0.539019,,0.539019,0.039026,,0.039026
gsm8k_orgn_vs_gpqa_ver1,14,1,1,0.33694,,0.33694,0.510082,,0.510082,0.040369,,0.040369
gsm8k_orgn_vs_gpqa_ver1,15,1,1,0.356052,,0.356052,0.535708,,0.535708,0.041742,,0.041742
gsm8k_orgn_vs_gpqa_ver1,16,1,1,0.362372,,0.362372,0.538829,,0.538829,0.043469,,0.043469
gsm8k_orgn_vs_gpqa_ver1,17,1,1,0.379481,,0.379481,0.549996,,0.549996,0.044484,,0.044484
gsm8k_orgn_vs_gpqa_ver1,18,1,1,0.387744,,0.387744,0.552197,,0.552197,0.048504,,0.048504
gsm8k_orgn_vs_gpqa_ver1,19,1,1,0.394671,,0.394671,0.554028,,0.554028,0.049049,,0.049049
gsm8k_orgn_vs_gpqa_ver1,20,1,1,0.396574,,0.396574,0.556404,,0.556404,0.044711,,0.044711
gsm8k_orgn_vs_gpqa_ver1,21,1,1,0.452736,,0.452736,0.604625,,0.604625,0.045551,,0.045551
gsm8k_orgn_vs_gpqa_ver1,22,1,1,0.424419,,0.424419,0.579644,,0.579644,0.046943,,0.046943
gsm8k_orgn_vs_gpqa_ver1,23,1,1,0.454985,,0.454985,0.596902,,0.596902,0.049765,,0.049765
gsm8k_orgn_vs_gpqa_ver1,24,1,1,0.468231,,0.468231,0.615397,,0.615397,0.04703,,0.04703
gsm8k_orgn_vs_gpqa_ver1,25,1,1,0.44946,,0.44946,0.595049,,0.595049,0.051759,,0.051759
gsm8k_orgn_vs_gpqa_ver1,26,1,1,0.475846,,0.475846,0.616309,,0.616309,0.055944,,0.055944
gsm8k_orgn_vs_gpqa_ver1,27,1,1,0.478135,,0.478135,0.60802,,0.60802,0.057355,,0.057355
gsm8k_orgn_vs_gpqa_ver1,28,1,1,0.461323,,0.461323,0.595823,,0.595823,0.053985,,0.053985
gsm8k_orgn_vs_gpqa_ver1,29,1,1,0.449424,,0.449424,0.58129,,0.58129,0.050757,,0.050757
gsm8k_orgn_vs_gpqa_ver1,30,1,1,0.441204,,0.441204,0.57648,,0.57648,0.057936,,0.057936
gsm8k_orgn_vs_gpqa_ver1,31,1,1,0.453289,,0.453289,0.582951,,0.582951,0.056721,,0.056721
gsm8k_orgn_vs_gpqa_ver1,32,1,1,0.468262,,0.468262,0.601549,,0.601549,0.052781,,0.052781
gsm8k_orgn_vs_gpqa_ver1,33,1,1,0.482454,,0.482454,0.616548,,0.616548,0.051846,,0.051846
gsm8k_orgn_vs_gpqa_ver1,34,1,1,0.469792,,0.469792,0.609507,,0.609507,0.049478,,0.049478
gsm8k_orgn_vs_gpqa_ver1,35,1,1,0.49192,,0.49192,0.618857,,0.618857,0.049001,,0.049001
gsm8k_orgn_vs_gpqa_ver1,36,1,1,0.521589,,0.521589,0.643558,,0.643558,0.050461,,0.050461
gsm8k_orgn_vs_gpqa_ver1,37,1,1,0.548159,,0.548159,0.670045,,0.670045,0.058572,,0.058572
gsm8k_orgn_vs_gpqa_ver1,38,1,1,0.57953,,0.57953,0.685376,,0.685376,0.073962,,0.073962
gsm8k_orgn_vs_gpqa_ver1,39,1,1,0.677197,,0.677197,0.766775,,0.766775,0.11244,,0.11244
gsm8k_orgn_vs_gpqa_ver1,40,1,1,0.049737,,0.049737,0.45823,,0.45823,0.520824,,0.520824
gsm8k_orgn_vs_gsm8k_ver1,0,1,1,0.085924,,0.085924,0.318844,,0.318844,0.019576,,0.019576
gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.496077,,0.496077,0.704439,,0.704439,0.040044,,0.040044
gsm8k_orgn_vs_gsm8k_ver1,2,1,1,0.510091,,0.510091,0.710989,,0.710989,0.044254,,0.044254
gsm8k_orgn_vs_gsm8k_ver1,3,1,1,0.481818,,0.481818,0.686544,,0.686544,0.035981,,0.035981
gsm8k_orgn_vs_gsm8k_ver1,4,1,1,0.482009,,0.482009,0.695549,,0.695549,0.03431,,0.03431
gsm8k_orgn_vs_gsm8k_ver1,5,1,1,0.478792,,0.478792,0.688688,,0.688688,0.026434,,0.026434
gsm8k_orgn_vs_gsm8k_ver1,6,1,1,0.451956,,0.451956,0.676278,,0.676278,0.029866,,0.029866
gsm8k_orgn_vs_gsm8k_ver1,7,1,1,0.433266,,0.433266,0.655208,,0.655208,0.032816,,0.032816
gsm8k_orgn_vs_gsm8k_ver1,8,1,1,0.44543,,0.44543,0.673484,,0.673484,0.029494,,0.029494
gsm8k_orgn_vs_gsm8k_ver1,9,1,1,0.458307,,0.458307,0.675814,,0.675814,0.030911,,0.030911
gsm8k_orgn_vs_gsm8k_ver1,10,1,1,0.448978,,0.448978,0.677321,,0.677321,0.022982,,0.022982
gsm8k_orgn_vs_gsm8k_ver1,11,1,1,0.426929,,0.426929,0.656438,,0.656438,0.018212,,0.018212
gsm8k_orgn_vs_gsm8k_ver1,12,1,1,0.372572,,0.372572,0.629043,,0.629043,0.013458,,0.013458
gsm8k_orgn_vs_gsm8k_ver1,13,1,1,0.32257,,0.32257,0.582038,,0.582038,0.015293,,0.015293
gsm8k_orgn_vs_gsm8k_ver1,14,1,1,0.338367,,0.338367,0.603893,,0.603893,0.015434,,0.015434
gsm8k_orgn_vs_gsm8k_ver1,15,1,1,0.350501,,0.350501,0.613914,,0.613914,0.016589,,0.016589
gsm8k_orgn_vs_gsm8k_ver1,16,1,1,0.367268,,0.367268,0.622717,,0.622717,0.017645,,0.017645
gsm8k_orgn_vs_gsm8k_ver1,17,1,1,0.381497,,0.381497,0.627612,,0.627612,0.018562,,0.018562
gsm8k_orgn_vs_gsm8k_ver1,18,1,1,0.403587,,0.403587,0.646479,,0.646479,0.017264,,0.017264
gsm8k_orgn_vs_gsm8k_ver1,19,1,1,0.407049,,0.407049,0.649493,,0.649493,0.018183,,0.018183
gsm8k_orgn_vs_gsm8k_ver1,20,1,1,0.407337,,0.407337,0.63441,,0.63441,0.017352,,0.017352
gsm8k_orgn_vs_gsm8k_ver1,21,1,1,0.48026,,0.48026,0.684255,,0.684255,0.018104,,0.018104
