pair,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,29,40,1,40,0.269728,0.187945,0.208148,0.742318,0.076719,0.733148,0.015858,0.023316,0.007895,4.481684,1.725258,4.169693
gpqa_orgn_vs_gpqa_ver1,30,40,1,40,0.261613,0.201723,0.195864,0.729386,0.115257,0.725999,0.008369,0.006054,0.006118,6.027043,3.311562,4.793586
gpqa_orgn_vs_gpqa_ver1,31,40,1,40,0.289349,0.152804,0.268085,0.769233,0.08899,0.76021,0.011148,0.009976,0.007994,6.496304,3.031868,6.482761
gpqa_orgn_vs_gpqa_ver1,32,40,1,40,0.319436,0.189978,0.303638,0.751912,0.107626,0.73904,0.016136,0.01601,0.009214,5.632277,3.974265,4.386547
gpqa_orgn_vs_gpqa_ver1,33,40,1,40,0.26886,0.167713,0.237074,0.732328,0.076034,0.723052,0.012054,0.007094,0.008891,6.296083,2.711678,6.036624
gpqa_orgn_vs_gpqa_ver1,34,40,1,40,0.272348,0.219852,0.219826,0.712827,0.119952,0.698368,0.018354,0.01717,0.011137,7.89213,4.943974,7.042067
gpqa_orgn_vs_gpqa_ver1,35,40,1,40,0.269878,0.16768,0.240664,0.694862,0.076673,0.685616,0.02019,0.023952,0.008567,6.898572,2.33862,6.363036
gpqa_orgn_vs_gpqa_ver1,36,40,1,40,0.254983,0.159367,0.20535,0.713073,0.103438,0.735665,0.02884,0.052911,0.010912,11.346654,7.962475,8.851262
gpqa_orgn_vs_gpqa_ver1,37,40,1,40,0.287884,0.164458,0.227318,0.701225,0.084417,0.666684,0.031501,0.036963,0.0127,13.262673,6.078287,12.070815
gpqa_orgn_vs_gpqa_ver1,38,40,1,40,0.322621,0.21087,0.313934,0.707284,0.125208,0.731042,0.031576,0.038291,0.012113,19.722949,11.480258,18.730647
gpqa_orgn_vs_gpqa_ver1,39,40,1,40,0.338121,0.242467,0.283139,0.699064,0.136461,0.710758,0.043542,0.061958,0.02368,19.943614,13.639569,17.623502
gsm8k_orgn_vs_gpqa_orgn,0,40,1,40,0.39972,0.289111,0.295425,0.749855,0.135021,0.709598,0.039893,0.029147,0.032264,0.242139,0.127825,0.220124
gsm8k_orgn_vs_gpqa_orgn,1,40,1,40,0.337452,0.295375,0.238896,0.73244,0.148666,0.707904,0.059829,0.04214,0.047865,0.262308,0.11238,0.261587
gsm8k_orgn_vs_gpqa_orgn,2,40,1,40,0.164343,0.112229,0.13378,0.60197,0.077879,0.605289,0.054437,0.054255,0.035574,0.363253,0.145443,0.362867
gsm8k_orgn_vs_gpqa_orgn,3,40,1,40,0.174106,0.088559,0.166069,0.577398,0.093147,0.570176,0.052331,0.034651,0.048645,0.414199,0.115105,0.39912
gsm8k_orgn_vs_gpqa_orgn,4,40,1,40,0.199802,0.157438,0.124555,0.575988,0.142248,0.548251,0.058324,0.042116,0.043309,0.487775,0.16593,0.499288
gsm8k_orgn_vs_gpqa_orgn,5,40,1,40,0.351579,0.259219,0.219702,0.709595,0.173058,0.692628,0.059256,0.04679,0.046919,0.490144,0.264999,0.48833
gsm8k_orgn_vs_gpqa_orgn,6,40,1,40,0.199608,0.147792,0.154171,0.574797,0.141631,0.554372,0.071327,0.040182,0.058704,0.714909,0.235613,0.757389
gsm8k_orgn_vs_gpqa_orgn,7,40,1,40,0.248295,0.180341,0.186566,0.601582,0.154816,0.592448,0.053652,0.052087,0.03253,0.839644,0.481498,0.795048
gsm8k_orgn_vs_gpqa_orgn,8,40,1,40,0.30616,0.234419,0.220092,0.659989,0.155838,0.620122,0.063003,0.056487,0.040988,0.847658,0.521126,0.778965
gsm8k_orgn_vs_gpqa_orgn,9,40,1,40,0.298698,0.244615,0.219475,0.681725,0.14845,0.677032,0.03031,0.022221,0.024061,0.852611,0.460983,0.853334
gsm8k_orgn_vs_gpqa_orgn,10,40,1,40,0.204638,0.198487,0.12826,0.589352,0.153899,0.56102,0.027577,0.015648,0.022162,1.160821,0.585806,1.195496
gsm8k_orgn_vs_gpqa_orgn,11,40,1,40,0.177373,0.166521,0.116518,0.551186,0.146761,0.53105,0.037196,0.026514,0.028181,1.41247,0.607945,1.406048
gsm8k_orgn_vs_gpqa_orgn,12,40,1,40,0.260822,0.203901,0.20573,0.64164,0.147483,0.6216,0.051121,0.037203,0.040577,1.424243,0.656043,1.399754
gsm8k_orgn_vs_gpqa_orgn,13,40,1,40,0.189902,0.179307,0.13774,0.55384,0.160498,0.552578,0.053802,0.04948,0.039172,1.872894,0.845823,1.761436
gsm8k_orgn_vs_gpqa_orgn,14,40,1,40,0.277223,0.264835,0.18008,0.622759,0.187679,0.62019,0.06205,0.047371,0.045606,1.75966,0.983571,1.696907
gsm8k_orgn_vs_gpqa_orgn,15,40,1,40,0.191642,0.167681,0.130149,0.581882,0.128338,0.561029,0.051926,0.028728,0.047768,2.100063,0.786902,2.073341
gsm8k_orgn_vs_gpqa_orgn,16,40,1,40,0.227859,0.151725,0.18451,0.605258,0.112806,0.579969,0.052792,0.032127,0.043664,2.408347,0.991192,2.339939
gsm8k_orgn_vs_gpqa_orgn,17,40,1,40,0.250022,0.165581,0.210132,0.620913,0.127054,0.6065,0.081515,0.075877,0.056899,2.563072,0.89459,2.569348
gsm8k_orgn_vs_gpqa_orgn,18,40,1,40,0.295585,0.179174,0.261712,0.651912,0.129475,0.655677,0.058323,0.037028,0.048074,2.52624,1.334587,2.53567
gsm8k_orgn_vs_gpqa_orgn,19,40,1,40,0.208587,0.118071,0.197448,0.591008,0.105271,0.590788,0.047469,0.031824,0.036812,2.927345,0.875053,2.84062
gsm8k_orgn_vs_gpqa_orgn,20,40,1,40,0.225908,0.161763,0.168594,0.588844,0.126087,0.571606,0.047263,0.026123,0.038888,2.945628,1.31782,3.037071
gsm8k_orgn_vs_gpqa_orgn,21,40,1,40,0.210366,0.168103,0.171708,0.587175,0.13431,0.564141,0.072619,0.045812,0.062126,3.696261,1.266008,3.556205
gsm8k_orgn_vs_gpqa_orgn,22,40,1,40,0.24562,0.181492,0.23144,0.596138,0.140296,0.621114,0.063492,0.037235,0.063951,3.727904,1.157097,3.803846
gsm8k_orgn_vs_gpqa_orgn,23,40,1,40,0.274125,0.177016,0.229042,0.622654,0.134359,0.61556,0.059074,0.023893,0.055899,2.72656,1.26024,2.733861
gsm8k_orgn_vs_gpqa_orgn,24,40,1,40,0.208105,0.153827,0.168101,0.562406,0.122857,0.56456,0.072763,0.05562,0.05082,3.962166,1.965236,3.885908
gsm8k_orgn_vs_gpqa_orgn,25,40,1,40,0.249257,0.110269,0.234674,0.592438,0.104858,0.585908,0.062909,0.052353,0.04387,3.719329,1.371813,3.402223
gsm8k_orgn_vs_gpqa_orgn,26,40,1,40,0.239977,0.189576,0.189696,0.602153,0.123911,0.583912,0.064641,0.039443,0.054479,3.78124,1.49324,3.878527
gsm8k_orgn_vs_gpqa_orgn,27,40,1,40,0.169837,0.074551,0.167104,0.550858,0.088462,0.554488,0.05071,0.023755,0.04496,5.601922,2.369151,4.971226
gsm8k_orgn_vs_gpqa_orgn,28,40,1,40,0.176634,0.173397,0.143174,0.562932,0.129423,0.554967,0.045581,0.021782,0.041262,4.778928,1.797946,4.724499
gsm8k_orgn_vs_gpqa_orgn,29,40,1,40,0.242742,0.186933,0.189876,0.619689,0.11411,0.596446,0.050351,0.058786,0.02718,4.537743,1.61486,4.504265
gsm8k_orgn_vs_gpqa_orgn,30,40,1,40,0.226687,0.207528,0.147604,0.579515,0.144583,0.568514,0.044032,0.036677,0.031191,5.75119,2.728795,4.845031
gsm8k_orgn_vs_gpqa_orgn,31,40,1,40,0.236329,0.172052,0.224894,0.592175,0.130797,0.607606,0.056406,0.04906,0.045339,6.494523,2.364939,6.713428
gsm8k_orgn_vs_gpqa_orgn,32,40,1,40,0.26457,0.20172,0.218772,0.614205,0.150172,0.587946,0.063206,0.058015,0.041692,5.849882,3.249011,4.924955
gsm8k_orgn_vs_gpqa_orgn,33,40,1,40,0.23834,0.155507,0.204532,0.587091,0.107098,0.580678,0.041839,0.018673,0.036142,6.321786,2.422211,6.007584
gsm8k_orgn_vs_gpqa_orgn,34,40,1,40,0.293649,0.222352,0.2343,0.637445,0.157829,0.596602,0.036502,0.021385,0.030172,6.74664,3.787168,5.775712
gsm8k_orgn_vs_gpqa_orgn,35,40,1,40,0.269704,0.153576,0.246103,0.607214,0.099092,0.584783,0.027462,0.019894,0.020686,7.010836,2.46325,6.150429
gsm8k_orgn_vs_gpqa_orgn,36,40,1,40,0.244801,0.16674,0.198379,0.593935,0.144608,0.566742,0.048785,0.030377,0.042693,11.155175,7.205518,9.845586
gsm8k_orgn_vs_gpqa_orgn,37,40,1,40,0.289963,0.17187,0.241731,0.614367,0.126645,0.591072,0.051487,0.050835,0.033856,13.389215,5.808627,10.93902
gsm8k_orgn_vs_gpqa_orgn,38,40,1,40,0.343838,0.233949,0.319608,0.62923,0.187281,0.676936,0.051743,0.03416,0.045537,18.101116,10.3146,17.273114
gsm8k_orgn_vs_gpqa_orgn,39,40,1,40,0.30852,0.242077,0.267702,0.585025,0.175724,0.59475,0.082611,0.062303,0.056375,18.950365,11.983098,16.766142
