pair,component,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gpqa_orgn_vs_gpqa_ver1,k,35,8,1,8,0.369639,0.054948,0.356952,0.727026,0.025092,0.727894,0.008855,0.00387,0.006934
gpqa_orgn_vs_gpqa_ver1,k,36,8,1,8,0.519393,0.122769,0.526716,0.768916,0.054629,0.769346,0.013873,0.01502,0.008435
gpqa_orgn_vs_gpqa_ver1,k,37,8,1,8,0.472213,0.106853,0.449077,0.738968,0.064365,0.733332,0.016186,0.013429,0.009938
gpqa_orgn_vs_gpqa_ver1,k,38,8,1,8,0.554923,0.148139,0.513047,0.7869,0.073575,0.764242,0.010916,0.006856,0.007262
gpqa_orgn_vs_gpqa_ver1,k,39,8,1,8,0.705829,0.049954,0.696678,0.868376,0.027155,0.862805,0.010177,0.002189,0.009557
gpqa_orgn_vs_gpqa_ver1,q,0,40,1,40,0.454814,0.100884,0.468486,0.769795,0.053784,0.766188,0.016318,0.018896,0.01021
gpqa_orgn_vs_gpqa_ver1,q,1,40,1,40,0.577775,0.10406,0.569274,0.83662,0.062956,0.842584,0.012702,0.016901,0.008634
gpqa_orgn_vs_gpqa_ver1,q,2,40,1,40,0.583152,0.116203,0.604222,0.812369,0.060953,0.831566,0.010698,0.006857,0.007925
gpqa_orgn_vs_gpqa_ver1,q,3,40,1,40,0.472974,0.072127,0.485074,0.757662,0.043644,0.755651,0.014017,0.015512,0.009432
gpqa_orgn_vs_gpqa_ver1,q,4,40,1,40,0.511586,0.075545,0.516862,0.77804,0.047624,0.783031,0.008276,0.003878,0.007114
gpqa_orgn_vs_gpqa_ver1,q,5,40,1,40,0.454922,0.107947,0.430986,0.762057,0.061696,0.751934,0.008908,0.004838,0.007116
gpqa_orgn_vs_gpqa_ver1,q,6,40,1,40,0.527406,0.10577,0.526022,0.785626,0.05176,0.786274,0.009587,0.00496,0.007832
gpqa_orgn_vs_gpqa_ver1,q,7,40,1,40,0.655771,0.099026,0.668839,0.829925,0.050792,0.840636,0.009016,0.004298,0.00786
gpqa_orgn_vs_gpqa_ver1,q,8,40,1,40,0.672326,0.090314,0.691898,0.847094,0.051635,0.858156,0.008594,0.003274,0.007631
gpqa_orgn_vs_gpqa_ver1,q,9,40,1,40,0.555456,0.125843,0.596752,0.791225,0.066066,0.795241,0.00602,0.001284,0.005794
gpqa_orgn_vs_gpqa_ver1,q,10,40,1,40,0.660362,0.089943,0.694994,0.842151,0.055116,0.86305,0.006488,0.00151,0.006085
gpqa_orgn_vs_gpqa_ver1,q,11,40,1,40,0.61794,0.093795,0.634898,0.815874,0.05333,0.828938,0.005134,0.000828,0.004893
gpqa_orgn_vs_gpqa_ver1,q,12,40,1,40,0.479482,0.112537,0.454931,0.750636,0.056403,0.73718,0.00524,0.000572,0.005114
gpqa_orgn_vs_gpqa_ver1,q,13,40,1,40,0.609392,0.136353,0.630981,0.820294,0.066543,0.829129,0.006327,0.001108,0.006068
gpqa_orgn_vs_gpqa_ver1,q,14,40,1,40,0.552545,0.080686,0.552676,0.792333,0.055419,0.78687,0.005595,0.00101,0.005467
gpqa_orgn_vs_gpqa_ver1,q,15,40,1,40,0.479143,0.07885,0.471234,0.754806,0.041345,0.749978,0.005386,0.000989,0.005106
gpqa_orgn_vs_gpqa_ver1,q,16,40,1,40,0.488589,0.094247,0.484313,0.764294,0.058612,0.761581,0.005833,0.000652,0.005809
gpqa_orgn_vs_gpqa_ver1,q,17,40,1,40,0.407538,0.101926,0.381129,0.721739,0.065426,0.714009,0.006428,0.001237,0.006156
gpqa_orgn_vs_gpqa_ver1,q,18,40,1,40,0.454637,0.093136,0.442388,0.749826,0.055331,0.736567,0.005976,0.001156,0.005675
gpqa_orgn_vs_gpqa_ver1,q,19,40,1,40,0.497314,0.11143,0.476761,0.745495,0.06648,0.728834,0.005633,0.000748,0.005631
gpqa_orgn_vs_gpqa_ver1,q,20,40,1,40,0.483258,0.087643,0.48552,0.756799,0.054611,0.759492,0.004967,0.000722,0.004824
gpqa_orgn_vs_gpqa_ver1,q,21,40,1,40,0.408508,0.06641,0.403684,0.705307,0.053018,0.700876,0.005104,0.000948,0.00495
gpqa_orgn_vs_gpqa_ver1,q,22,40,1,40,0.441739,0.05986,0.448866,0.727415,0.036069,0.721447,0.005797,0.000803,0.00563
gpqa_orgn_vs_gpqa_ver1,q,23,40,1,40,0.472079,0.065806,0.456718,0.741461,0.039622,0.739403,0.006295,0.001606,0.005907
gpqa_orgn_vs_gpqa_ver1,q,24,40,1,40,0.481864,0.066222,0.463346,0.743162,0.042281,0.73369,0.005427,0.001116,0.005062
gpqa_orgn_vs_gpqa_ver1,q,25,40,1,40,0.508476,0.05588,0.508346,0.757624,0.034899,0.750246,0.006117,0.003055,0.005247
gpqa_orgn_vs_gpqa_ver1,q,26,40,1,40,0.495542,0.063957,0.503632,0.75109,0.037834,0.74958,0.006398,0.002311,0.005684
gpqa_orgn_vs_gpqa_ver1,q,27,40,1,40,0.572751,0.077427,0.571164,0.797254,0.050406,0.800117,0.006676,0.000866,0.006569
gpqa_orgn_vs_gpqa_ver1,q,28,40,1,40,0.469348,0.062999,0.459361,0.73511,0.037967,0.732413,0.006513,0.00106,0.006112
gpqa_orgn_vs_gpqa_ver1,q,29,40,1,40,0.657423,0.148274,0.662954,0.822377,0.079466,0.830975,0.007419,0.002259,0.006816
gpqa_orgn_vs_gpqa_ver1,q,30,40,1,40,0.654979,0.104183,0.685506,0.825307,0.059355,0.840774,0.007312,0.002571,0.006459
gpqa_orgn_vs_gpqa_ver1,q,31,40,1,40,0.577787,0.099313,0.611687,0.789378,0.051826,0.798896,0.007902,0.002115,0.007338
gpqa_orgn_vs_gpqa_ver1,q,32,40,1,40,0.643653,0.076303,0.631362,0.812541,0.045965,0.800922,0.010485,0.00741,0.007996
gpqa_orgn_vs_gpqa_ver1,q,33,40,1,40,0.588455,0.049652,0.579602,0.781969,0.029589,0.780525,0.010609,0.004692,0.009374
gpqa_orgn_vs_gpqa_ver1,q,34,40,1,40,0.509772,0.05989,0.507747,0.741627,0.038658,0.739262,0.011523,0.006362,0.008575
gpqa_orgn_vs_gpqa_ver1,q,35,40,1,40,0.510992,0.03525,0.510704,0.744436,0.024659,0.742098,0.010912,0.005562,0.008726
gpqa_orgn_vs_gpqa_ver1,q,36,40,1,40,0.625442,0.063607,0.61763,0.799365,0.039474,0.795632,0.017742,0.020268,0.011716
gpqa_orgn_vs_gpqa_ver1,q,37,40,1,40,0.597244,0.058092,0.594328,0.793595,0.043794,0.796622,0.016691,0.013506,0.00991
gpqa_orgn_vs_gpqa_ver1,q,38,40,1,40,0.648733,0.084672,0.646447,0.826874,0.042664,0.820679,0.018751,0.01497,0.01366
