pair,layer_from,layer_to,delta_maxmatch_cosine,delta_mmd_rbf
gsm8k_orgn_vs_gpqa_orgn,35,36,0.018953,0.000552
gsm8k_orgn_vs_gpqa_orgn,36,37,0.030567,0.001242
gsm8k_orgn_vs_gpqa_orgn,37,38,0.027748,0.002201
gsm8k_orgn_vs_gpqa_orgn,38,39,0.074748,0.006562
gsm8k_orgn_vs_gpqa_orgn,39,40,-0.080009,0.028038
gsm8k_orgn_vs_gpqa_ver1,0,1,0.352233,0.004511
gsm8k_orgn_vs_gpqa_ver1,1,2,0.011789,-0.001317
gsm8k_orgn_vs_gpqa_ver1,2,3,-0.023786,0.002463
gsm8k_orgn_vs_gpqa_ver1,3,4,-0.024676,0.0077
gsm8k_orgn_vs_gpqa_ver1,4,5,0.006772,0.001602
gsm8k_orgn_vs_gpqa_ver1,5,6,-0.033043,-0.001073
gsm8k_orgn_vs_gpqa_ver1,6,7,-0.036923,0.009019
gsm8k_orgn_vs_gpqa_ver1,7,8,0.024668,0.001021
gsm8k_orgn_vs_gpqa_ver1,8,9,-0.002521,-0.001924
gsm8k_orgn_vs_gpqa_ver1,9,10,0.000203,-0.004644
gsm8k_orgn_vs_gpqa_ver1,10,11,-0.053353,-0.004049
gsm8k_orgn_vs_gpqa_ver1,11,12,-0.028715,0.003109
gsm8k_orgn_vs_gpqa_ver1,12,13,-0.030833,0.005686
gsm8k_orgn_vs_gpqa_ver1,13,14,-0.028937,0.001343
gsm8k_orgn_vs_gpqa_ver1,14,15,0.025626,0.001373
gsm8k_orgn_vs_gpqa_ver1,15,16,0.003121,0.001727
gsm8k_orgn_vs_gpqa_ver1,16,17,0.011167,0.001015
gsm8k_orgn_vs_gpqa_ver1,17,18,0.002201,0.00402
gsm8k_orgn_vs_gpqa_ver1,18,19,0.001831,0.000545
gsm8k_orgn_vs_gpqa_ver1,19,20,0.002376,-0.004338
gsm8k_orgn_vs_gpqa_ver1,20,21,0.048221,0.00084
gsm8k_orgn_vs_gpqa_ver1,21,22,-0.024981,0.001392
gsm8k_orgn_vs_gpqa_ver1,22,23,0.017258,0.002822
gsm8k_orgn_vs_gpqa_ver1,23,24,0.018495,-0.002735
gsm8k_orgn_vs_gpqa_ver1,24,25,-0.020348,0.004729
gsm8k_orgn_vs_gpqa_ver1,25,26,0.02126,0.004185
gsm8k_orgn_vs_gpqa_ver1,26,27,-0.008289,0.001411
gsm8k_orgn_vs_gpqa_ver1,27,28,-0.012197,-0.00337
gsm8k_orgn_vs_gpqa_ver1,28,29,-0.014533,-0.003228
gsm8k_orgn_vs_gpqa_ver1,29,30,-0.00481,0.007179
gsm8k_orgn_vs_gpqa_ver1,30,31,0.006471,-0.001215
gsm8k_orgn_vs_gpqa_ver1,31,32,0.018598,-0.00394
gsm8k_orgn_vs_gpqa_ver1,32,33,0.014999,-0.000935
gsm8k_orgn_vs_gpqa_ver1,33,34,-0.007041,-0.002368
gsm8k_orgn_vs_gpqa_ver1,34,35,0.00935,-0.000477
gsm8k_orgn_vs_gpqa_ver1,35,36,0.024701,0.00146
gsm8k_orgn_vs_gpqa_ver1,36,37,0.026487,0.008111
gsm8k_orgn_vs_gpqa_ver1,37,38,0.015331,0.01539
gsm8k_orgn_vs_gpqa_ver1,38,39,0.081399,0.038478
gsm8k_orgn_vs_gpqa_ver1,39,40,-0.308545,0.408384
gsm8k_orgn_vs_gsm8k_ver1,0,1,0.385595,0.020468
gsm8k_orgn_vs_gsm8k_ver1,1,2,0.00655,0.00421
gsm8k_orgn_vs_gsm8k_ver1,2,3,-0.024445,-0.008273
gsm8k_orgn_vs_gsm8k_ver1,3,4,0.009005,-0.001671
gsm8k_orgn_vs_gsm8k_ver1,4,5,-0.006861,-0.007876
gsm8k_orgn_vs_gsm8k_ver1,5,6,-0.01241,0.003432
gsm8k_orgn_vs_gsm8k_ver1,6,7,-0.02107,0.00295
gsm8k_orgn_vs_gsm8k_ver1,7,8,0.018276,-0.003322
gsm8k_orgn_vs_gsm8k_ver1,8,9,0.00233,0.001417
gsm8k_orgn_vs_gsm8k_ver1,9,10,0.001507,-0.007929
gsm8k_orgn_vs_gsm8k_ver1,10,11,-0.020883,-0.00477
gsm8k_orgn_vs_gsm8k_ver1,11,12,-0.027395,-0.004754
gsm8k_orgn_vs_gsm8k_ver1,12,13,-0.047005,0.001835
gsm8k_orgn_vs_gsm8k_ver1,13,14,0.021855,0.000141
gsm8k_orgn_vs_gsm8k_ver1,14,15,0.010021,0.001155
gsm8k_orgn_vs_gsm8k_ver1,15,16,0.008803,0.001056
gsm8k_orgn_vs_gsm8k_ver1,16,17,0.004895,0.000917
gsm8k_orgn_vs_gsm8k_ver1,17,18,0.018867,-0.001298
gsm8k_orgn_vs_gsm8k_ver1,18,19,0.003014,0.000919
gsm8k_orgn_vs_gsm8k_ver1,19,20,-0.015083,-0.000831
gsm8k_orgn_vs_gsm8k_ver1,20,21,0.049845,0.000752
gsm8k_orgn_vs_gsm8k_ver1,21,22,-0.022616,-0.000292
gsm8k_orgn_vs_gsm8k_ver1,22,23,0.015446,0.000624
gsm8k_orgn_vs_gsm8k_ver1,23,24,0.020966,0.000268
gsm8k_orgn_vs_gsm8k_ver1,24,25,-0.014935,0.001381
gsm8k_orgn_vs_gsm8k_ver1,25,26,0.001788,0.004417
gsm8k_orgn_vs_gsm8k_ver1,26,27,-0.000434,0.003701
gsm8k_orgn_vs_gsm8k_ver1,27,28,-0.013839,-0.002116
gsm8k_orgn_vs_gsm8k_ver1,28,29,-0.011842,-0.00117
gsm8k_orgn_vs_gsm8k_ver1,29,30,-0.017899,0.004535
gsm8k_orgn_vs_gsm8k_ver1,30,31,0.013993,-0.000107
gsm8k_orgn_vs_gsm8k_ver1,31,32,0.010885,0.002397
gsm8k_orgn_vs_gsm8k_ver1,32,33,0.005869,0.003025
gsm8k_orgn_vs_gsm8k_ver1,33,34,-0.001746,0.000686
gsm8k_orgn_vs_gsm8k_ver1,34,35,0.017313,0.001437
gsm8k_orgn_vs_gsm8k_ver1,35,36,0.013123,0.004885
gsm8k_orgn_vs_gsm8k_ver1,36,37,0.016307,0.009566
gsm8k_orgn_vs_gsm8k_ver1,37,38,0.013303,0.023421
gsm8k_orgn_vs_gsm8k_ver1,38,39,0.069378,0.041559
gsm8k_orgn_vs_gsm8k_ver1,39,40,-0.47805,0.516626
gsm8k_ver1_vs_gpqa_orgn,0,1,0.387949,0.054442
gsm8k_ver1_vs_gpqa_orgn,1,2,0.008186,0.006979
gsm8k_ver1_vs_gpqa_orgn,2,3,-0.037213,-0.02024
gsm8k_ver1_vs_gpqa_orgn,3,4,-0.00199,-0.010688
gsm8k_ver1_vs_gpqa_orgn,4,5,0.004684,0.003463
gsm8k_ver1_vs_gpqa_orgn,5,6,-0.039867,-0.001124
gsm8k_ver1_vs_gpqa_orgn,6,7,-0.035641,-0.005325
gsm8k_ver1_vs_gpqa_orgn,7,8,0.012047,0.014393
gsm8k_ver1_vs_gpqa_orgn,8,9,-0.005102,-0.00853
gsm8k_ver1_vs_gpqa_orgn,9,10,-0.010659,-0.011837
gsm8k_ver1_vs_gpqa_orgn,10,11,-0.004042,-0.003176
gsm8k_ver1_vs_gpqa_orgn,11,12,-0.042054,0.000569
gsm8k_ver1_vs_gpqa_orgn,12,13,-0.041569,0.008885
gsm8k_ver1_vs_gpqa_orgn,13,14,-0.005823,-0.002238
gsm8k_ver1_vs_gpqa_orgn,14,15,-7.8e-05,0.000354
gsm8k_ver1_vs_gpqa_orgn,15,16,0.004474,0.002999
gsm8k_ver1_vs_gpqa_orgn,16,17,0.01741,0.000399
gsm8k_ver1_vs_gpqa_orgn,17,18,0.015054,0.002181
gsm8k_ver1_vs_gpqa_orgn,18,19,0.006235,0.001291
gsm8k_ver1_vs_gpqa_orgn,19,20,-0.007672,-0.001484
gsm8k_ver1_vs_gpqa_orgn,20,21,0.057349,-0.005206
gsm8k_ver1_vs_gpqa_orgn,21,22,-0.03219,0.00377
gsm8k_ver1_vs_gpqa_orgn,22,23,0.00921,0.00357
gsm8k_ver1_vs_gpqa_orgn,23,24,0.028334,-0.003176
gsm8k_ver1_vs_gpqa_orgn,24,25,-0.014171,0.006625
gsm8k_ver1_vs_gpqa_orgn,25,26,-0.001835,0.002322
gsm8k_ver1_vs_gpqa_orgn,26,27,0.002649,0.005942
gsm8k_ver1_vs_gpqa_orgn,27,28,0.002344,-0.008213
gsm8k_ver1_vs_gpqa_orgn,28,29,-0.025728,-0.003372
gsm8k_ver1_vs_gpqa_orgn,29,30,-0.013848,0.004075
gsm8k_ver1_vs_gpqa_orgn,30,31,0.016805,-0.003732
gsm8k_ver1_vs_gpqa_orgn,31,32,0.010816,0.003523
gsm8k_ver1_vs_gpqa_orgn,32,33,0.001887,-0.000503
gsm8k_ver1_vs_gpqa_orgn,33,34,0.045122,-0.003816
gsm8k_ver1_vs_gpqa_orgn,34,35,-0.016885,0.001683
