pair,layer_from,layer_to,delta_maxmatch_cosine,delta_mmd_rbf
version1_vs_version2,0,1,0.141459,0.00826
version1_vs_version2,1,2,0.007672,-0.006388
version1_vs_version2,2,3,-0.004462,-0.000814
version1_vs_version2,3,4,-0.002761,0.002628
version1_vs_version2,4,5,0.005106,0.000361
version1_vs_version2,5,6,-0.002057,-0.002936
version1_vs_version2,6,7,-0.004318,0.001648
version1_vs_version2,7,8,0.006033,-0.000987
version1_vs_version2,8,9,0.00346,0.00022
version1_vs_version2,9,10,0.002814,-0.001301
version1_vs_version2,10,11,-0.004744,-0.002266
version1_vs_version2,11,12,-0.01055,0.002748
version1_vs_version2,12,13,-0.008739,-0.000625
version1_vs_version2,13,14,0.008217,0.001332
version1_vs_version2,14,15,0.008132,-0.004203
version1_vs_version2,15,16,0.000926,0.001963
version1_vs_version2,16,17,0.003385,-0.000625
version1_vs_version2,17,18,0.00359,-0.000719
version1_vs_version2,18,19,-0.001942,0.00153
version1_vs_version2,19,20,-0.001397,-0.000817
version1_vs_version2,20,21,0.013104,-0.001076
version1_vs_version2,21,22,-0.005336,0.005254
version1_vs_version2,22,23,0.003011,-0.001463
version1_vs_version2,23,24,0.007054,-0.005142
version1_vs_version2,24,25,-0.003579,0.003871
version1_vs_version2,25,26,0.000775,0.00322
version1_vs_version2,26,27,-0.000213,-0.002005
version1_vs_version2,27,28,-0.005274,0.002335
version1_vs_version2,28,29,-0.005952,-0.002306
version1_vs_version2,29,30,-0.005095,0.003558
version1_vs_version2,30,31,0.001855,-0.002343
version1_vs_version2,31,32,-0.000807,0.004064
version1_vs_version2,32,33,0.002208,0.001034
version1_vs_version2,33,34,0.000765,0.000559
version1_vs_version2,34,35,0.000114,0.000387
version1_vs_version2,35,36,0.003228,0.003472
version1_vs_version2,36,37,0.001384,0.002784
version1_vs_version2,37,38,0.006,0.000907
version1_vs_version2,38,39,0.016105,0.013799
version1_vs_version2,39,40,-0.134261,0.083811
version1_vs_version3,0,1,0.146945,0.009315
version1_vs_version3,1,2,0.008378,-0.005674
version1_vs_version3,2,3,-0.004887,0.002514
version1_vs_version3,3,4,-0.003116,0.001767
version1_vs_version3,4,5,0.005458,-0.005319
version1_vs_version3,5,6,-0.002496,-0.000856
version1_vs_version3,6,7,-0.005102,0.004586
version1_vs_version3,7,8,0.006901,0.001775
version1_vs_version3,8,9,0.002382,-0.004287
version1_vs_version3,9,10,0.001284,-0.000148
version1_vs_version3,10,11,-0.007006,-0.003513
version1_vs_version3,11,12,-0.013844,0.001569
version1_vs_version3,12,13,-0.010933,-0.000853
version1_vs_version3,13,14,0.009078,-5.8e-05
version1_vs_version3,14,15,0.008865,0.003838
version1_vs_version3,15,16,0.00022,-0.003246
version1_vs_version3,16,17,0.003284,0.001708
version1_vs_version3,17,18,0.003544,-0.000287
version1_vs_version3,18,19,-0.002111,-0.000956
version1_vs_version3,19,20,-0.001976,0.000953
version1_vs_version3,20,21,0.015763,0.000563
version1_vs_version3,21,22,-0.00677,-0.002477
version1_vs_version3,22,23,0.003426,0.001175
version1_vs_version3,23,24,0.008286,-0.001862
version1_vs_version3,24,25,-0.004055,0.005533
version1_vs_version3,25,26,0.001495,-0.004152
version1_vs_version3,26,27,0.000705,0.005371
version1_vs_version3,27,28,-0.005569,-0.003075
version1_vs_version3,28,29,-0.005835,0.002441
version1_vs_version3,29,30,-0.004352,0.003309
version1_vs_version3,30,31,0.003386,-0.003102
version1_vs_version3,31,32,-8.2e-05,0.002429
version1_vs_version3,32,33,0.00324,0.002593
version1_vs_version3,33,34,0.001432,0.000911
version1_vs_version3,34,35,0.000759,-0.003045
version1_vs_version3,35,36,0.004496,0.009299
version1_vs_version3,36,37,0.002273,-0.007806
version1_vs_version3,37,38,0.007543,0.008499
version1_vs_version3,38,39,0.018056,0.015651
version1_vs_version3,39,40,-0.136062,0.097088
