pair,layer,n_rows,n_tasks,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,cka_total_count,cka_valid_count,cka_valid_rate,cka_linear_mean_valid_only,cka_linear_std_valid_only,cka_linear_median_valid_only
version1_vs_version3,14,50,50,1,0.438587,0.022197,0.440407,0.890812,0.033871,0.887942,0.007239,0.002161,0.007044,50,1,0.02,0.602683,,0.602683
version1_vs_version3,15,50,50,1,0.439653,0.019266,0.43986,0.895606,0.032025,0.894054,0.007576,0.002305,0.007477,50,1,0.02,0.62655,,0.62655
version1_vs_version3,16,50,50,1,0.43556,0.01893,0.436282,0.894852,0.032395,0.894736,0.007175,0.002256,0.007082,50,1,0.02,0.64509,,0.64509
version1_vs_version3,17,50,50,1,0.43665,0.016559,0.438931,0.896805,0.031916,0.896892,0.006853,0.002158,0.006795,50,1,0.02,0.669971,,0.669971
version1_vs_version3,18,50,50,1,0.45531,0.015321,0.454005,0.900422,0.030341,0.901281,0.006926,0.002029,0.006942,50,1,0.02,0.709151,,0.709151
version1_vs_version3,19,50,50,1,0.453874,0.013798,0.453616,0.899971,0.030431,0.899812,0.006992,0.002201,0.006846,50,1,0.02,0.733693,,0.733693
version1_vs_version3,20,50,50,1,0.454073,0.013128,0.453569,0.897807,0.031256,0.897339,0.006644,0.001998,0.006452,50,1,0.02,0.999885,,0.999885
version1_vs_version3,21,50,50,1,0.481742,0.013309,0.484346,0.905456,0.029357,0.905755,0.006304,0.001905,0.006151,50,1,0.02,0.999678,,0.999678
version1_vs_version3,22,50,50,1,0.467023,0.011432,0.468638,0.903672,0.027995,0.90406,0.006217,0.001813,0.006184,50,1,0.02,0.999798,,0.999798
version1_vs_version3,23,50,50,1,0.485764,0.012167,0.48668,0.90646,0.02683,0.90728,0.006406,0.001951,0.006319,50,1,0.02,0.99978,,0.99978
version1_vs_version3,24,50,50,1,0.493904,0.015516,0.497358,0.90831,0.027099,0.909646,0.006581,0.002024,0.006419,50,1,0.02,0.999283,,0.999283
version1_vs_version3,25,50,50,1,0.490947,0.011668,0.49229,0.907211,0.026116,0.908472,0.006918,0.002168,0.006615,50,1,0.02,0.999587,,0.999587
version1_vs_version3,26,50,50,1,0.504634,0.011445,0.507175,0.908645,0.02546,0.908813,0.007976,0.002565,0.007617,50,1,0.02,0.999382,,0.999382
version1_vs_version3,27,50,50,1,0.513413,0.011196,0.514283,0.907756,0.025464,0.907952,0.009228,0.003379,0.008759,50,1,0.02,0.999142,,0.999142
version1_vs_version3,28,50,50,1,0.493568,0.013702,0.49586,0.901655,0.02815,0.90114,0.008785,0.003132,0.008494,50,1,0.02,0.998646,,0.998646
version1_vs_version3,29,50,50,1,0.474167,0.012474,0.474961,0.89735,0.029439,0.896088,0.008198,0.002937,0.007676,50,1,0.02,0.997938,,0.997938
version1_vs_version3,30,50,50,1,0.476351,0.011314,0.477748,0.893791,0.030687,0.893812,0.01022,0.003878,0.009884,50,1,0.02,0.997012,,0.997012
version1_vs_version3,31,50,50,1,0.484623,0.012224,0.483682,0.894762,0.030239,0.89373,0.009855,0.003685,0.009864,50,1,0.02,0.995156,,0.995156
version1_vs_version3,32,50,50,1,0.491661,0.015444,0.491169,0.896277,0.029404,0.895501,0.010575,0.004326,0.010172,50,1,0.02,0.991966,,0.991966
version1_vs_version3,33,50,50,1,0.501877,0.01797,0.501923,0.898332,0.028294,0.897874,0.011055,0.00439,0.011058,50,1,0.02,0.985616,,0.985616
version1_vs_version3,34,50,50,1,0.51114,0.020728,0.512658,0.898205,0.027963,0.89645,0.011681,0.004851,0.011622,50,1,0.02,0.978258,,0.978258
version1_vs_version3,35,50,50,1,0.518461,0.02308,0.520555,0.897393,0.028042,0.894098,0.012311,0.005353,0.011895,50,1,0.02,0.968838,,0.968838
version1_vs_version3,36,50,50,1,0.543351,0.025899,0.545028,0.899069,0.026683,0.89506,0.014051,0.006339,0.013391,50,1,0.02,0.956274,,0.956274
version1_vs_version3,37,50,50,1,0.555455,0.028521,0.56129,0.896902,0.026892,0.893788,0.016359,0.007585,0.015236,50,1,0.02,0.942022,,0.942022
version1_vs_version3,38,50,50,1,0.596344,0.028016,0.602227,0.895215,0.027564,0.895024,0.024736,0.011793,0.023165,50,1,0.02,0.899711,,0.899711
version1_vs_version3,39,50,50,1,0.674283,0.029726,0.681966,0.908646,0.025155,0.90968,0.039753,0.020043,0.036212,50,1,0.02,0.502846,,0.502846
version1_vs_version3,40,50,50,1,0.167375,0.056186,0.156528,0.777382,0.066532,0.777044,0.190198,0.092606,0.18721,50,1,0.02,0.347445,,0.347445
version2_vs_version3,0,50,50,1,0.111799,0.013846,0.112409,0.926881,0.02994,0.92888,0.001328,0.000823,0.001128,50,3,0.06,0.605708,0.176067,0.595819
version2_vs_version3,1,50,50,1,0.620124,0.03575,0.621605,0.9638,0.01405,0.963234,0.00175,0.00086,0.00154,50,3,0.06,0.620411,0.16589,0.563612
version2_vs_version3,2,50,50,1,0.62465,0.037024,0.625956,0.962384,0.014154,0.962215,0.001759,0.000852,0.001516,50,3,0.06,0.545246,0.199661,0.479288
version2_vs_version3,3,50,50,1,0.603865,0.039625,0.603376,0.957628,0.015634,0.958119,0.001973,0.000857,0.001782,50,3,0.06,0.512544,0.246916,0.433394
version2_vs_version3,4,50,50,1,0.567931,0.039421,0.567361,0.953917,0.016668,0.955334,0.002368,0.0009,0.002184,50,3,0.06,0.565365,0.164905,0.544066
version2_vs_version3,5,50,50,1,0.574473,0.038505,0.57169,0.954858,0.016274,0.955555,0.002625,0.000922,0.002469,50,3,0.06,0.619021,0.112068,0.612509
version2_vs_version3,6,50,50,1,0.537702,0.034287,0.53213,0.951527,0.017327,0.951479,0.002584,0.000859,0.002496,50,3,0.06,0.671496,0.072473,0.676229
version2_vs_version3,7,50,50,1,0.529236,0.030718,0.529548,0.949953,0.017307,0.949866,0.002896,0.000974,0.0028,50,3,0.06,0.709191,0.059503,0.709302
version2_vs_version3,8,50,50,1,0.549174,0.031413,0.54885,0.951387,0.016294,0.950895,0.003148,0.00104,0.002981,50,3,0.06,0.695482,0.0565,0.702346
version2_vs_version3,9,50,50,1,0.554632,0.031718,0.557086,0.951824,0.016171,0.95236,0.003015,0.001017,0.002964,50,3,0.06,0.701271,0.071859,0.732438
version2_vs_version3,10,50,50,1,0.541209,0.026574,0.544192,0.951635,0.016085,0.95277,0.002548,0.000865,0.002435,50,3,0.06,0.69496,0.07476,0.720188
version2_vs_version3,11,50,50,1,0.514173,0.024128,0.515164,0.948466,0.017185,0.949394,0.002423,0.000817,0.002346,50,3,0.06,0.704983,0.083628,0.709368
version2_vs_version3,12,50,50,1,0.470316,0.022609,0.470573,0.9419,0.020014,0.943094,0.002721,0.000938,0.002573,50,3,0.06,0.736228,0.077729,0.705112
version2_vs_version3,13,50,50,1,0.442203,0.02296,0.441858,0.93592,0.022068,0.936217,0.002846,0.000944,0.002658,50,3,0.06,0.751107,0.063938,0.730625
version2_vs_version3,14,50,50,1,0.450156,0.021206,0.448534,0.939349,0.020682,0.939753,0.002982,0.000973,0.00283,50,3,0.06,0.746628,0.065498,0.716832
version2_vs_version3,15,50,50,1,0.451636,0.018205,0.452068,0.94256,0.019582,0.944127,0.002933,0.001031,0.002757,50,3,0.06,0.757254,0.071191,0.720447
version2_vs_version3,16,50,50,1,0.446555,0.018171,0.447722,0.941807,0.020106,0.944204,0.002756,0.000948,0.002597,50,3,0.06,0.768111,0.073273,0.738612
version2_vs_version3,17,50,50,1,0.446992,0.01608,0.448578,0.942749,0.019938,0.945277,0.002622,0.000871,0.002468,50,3,0.06,0.784208,0.065261,0.75354
version2_vs_version3,18,50,50,1,0.463932,0.01536,0.464669,0.944367,0.019511,0.946986,0.002667,0.00091,0.002531,50,3,0.06,0.806772,0.056026,0.784654
version2_vs_version3,19,50,50,1,0.461933,0.014001,0.465104,0.943985,0.019716,0.94659,0.00255,0.000865,0.002358,50,3,0.06,0.819817,0.050603,0.799279
version2_vs_version3,20,50,50,1,0.461827,0.013227,0.463924,0.94218,0.020633,0.945466,0.00252,0.00088,0.00236,50,3,0.06,0.999882,3.9e-05,0.999898
version2_vs_version3,21,50,50,1,0.489119,0.014266,0.490191,0.946535,0.01932,0.949839,0.00252,0.000919,0.002362,50,3,0.06,0.999717,5.1e-05,0.999732
version2_vs_version3,22,50,50,1,0.474509,0.013174,0.47557,0.944824,0.018953,0.94788,0.002535,0.000924,0.002342,50,3,0.06,0.999837,4.8e-05,0.999838
version2_vs_version3,23,50,50,1,0.494442,0.013642,0.497784,0.946516,0.018138,0.949244,0.002539,0.000881,0.0024,50,3,0.06,0.99981,3.2e-05,0.999793
version2_vs_version3,24,50,50,1,0.501771,0.016993,0.503488,0.947516,0.018265,0.950931,0.002544,0.000883,0.002412,50,3,0.06,0.999459,0.000132,0.999428
version2_vs_version3,25,50,50,1,0.499443,0.013582,0.50075,0.947201,0.017555,0.949611,0.002623,0.000949,0.002391,50,3,0.06,0.999701,7.3e-05,0.999673
version2_vs_version3,26,50,50,1,0.512943,0.013674,0.51483,0.948873,0.01683,0.951048,0.002648,0.000863,0.002498,50,3,0.06,0.999641,0.000111,0.99967
version2_vs_version3,27,50,50,1,0.522946,0.013629,0.523319,0.949751,0.016178,0.95231,0.002658,0.000874,0.002538,50,3,0.06,0.999509,0.000178,0.999534
version2_vs_version3,28,50,50,1,0.50412,0.015938,0.506567,0.947502,0.017062,0.949925,0.002573,0.000874,0.002435,50,3,0.06,0.999222,0.000314,0.999289
version2_vs_version3,29,50,50,1,0.485278,0.015324,0.486398,0.945716,0.017405,0.94829,0.002523,0.000866,0.002346,50,3,0.06,0.998799,0.000461,0.998849
version2_vs_version3,30,50,50,1,0.489424,0.014072,0.491584,0.94549,0.017235,0.947946,0.002668,0.000887,0.00258,50,3,0.06,0.998005,0.000807,0.997941
version2_vs_version3,31,50,50,1,0.497258,0.015447,0.498822,0.946357,0.016561,0.948839,0.002665,0.000886,0.002559,50,3,0.06,0.995937,0.001567,0.995274
version2_vs_version3,32,50,50,1,0.504827,0.018706,0.504482,0.94786,0.015673,0.950087,0.00273,0.000861,0.002626,50,3,0.06,0.993139,0.002773,0.991668
version2_vs_version3,33,50,50,1,0.514347,0.020582,0.510766,0.949124,0.015134,0.951922,0.002761,0.00088,0.00267,50,3,0.06,0.989749,0.003717,0.988013
version2_vs_version3,34,50,50,1,0.52409,0.023171,0.520587,0.949626,0.014857,0.951468,0.00278,0.000895,0.002734,50,3,0.06,0.985744,0.005172,0.98435
version2_vs_version3,35,50,50,1,0.53268,0.025328,0.528463,0.949891,0.01475,0.950564,0.002726,0.000876,0.002612,50,3,0.06,0.980389,0.006913,0.979595
version2_vs_version3,36,50,50,1,0.558631,0.028235,0.55685,0.95211,0.013941,0.952286,0.002831,0.001006,0.00262,50,3,0.06,0.973548,0.009651,0.97426
version2_vs_version3,37,50,50,1,0.57082,0.031291,0.570914,0.953101,0.013697,0.95237,0.002813,0.000916,0.002691,50,3,0.06,0.968177,0.011041,0.968143
version2_vs_version3,38,50,50,1,0.61801,0.032488,0.618364,0.957273,0.012581,0.956998,0.002841,0.000905,0.002728,50,3,0.06,0.957999,0.01212,0.954729
version2_vs_version3,39,50,50,1,0.697402,0.035047,0.70434,0.967842,0.009893,0.967689,0.003032,0.0011,0.002821,50,3,0.06,0.714774,0.031466,0.69827
version2_vs_version3,40,50,50,1,0.360757,0.053818,0.361399,0.960638,0.012984,0.961448,0.002581,0.001107,0.002227,50,3,0.06,0.615247,0.039007,0.611095
